type;area;Q1_03;Q1_04;Q1_05
Parcel-/rëkkehus;1000-1499 Kbh.K.;..;..;..
Parcel-/rëkkehus;1500-1799 Kbh.V.;..;..;..
Parcel-/rëkkehus;1800-1999 Frederiksberg C;..;..;..
Parcel-/rëkkehus;2000 Frederiksberg;17053;17340;26492
Parcel-/rëkkehus;2100 Kõbenhavn ù;17257;21550;19349
Parcel-/rëkkehus;2150 Nordhavn;..;..;..
Parcel-/rëkkehus;2200 Kõbenhavn N;..;..;..
Parcel-/rëkkehus;2300 Kõbenhavn S;14380;15510;18752
Parcel-/rëkkehus;2400 Kõbenhavn NV;15126;16611;19758
Parcel-/rëkkehus;2450 Kõbenhavn SV;..;..;..
Parcel-/rëkkehus;2500 Valby;14275;15336;20969
Parcel-/rëkkehus;2600 Glostrup;12328;13529;16055
Parcel-/rëkkehus;2605 Brõndby;13273;12953;16028
Parcel-/rëkkehus;2610 Rõdovre;14128;14870;16423
Parcel-/rëkkehus;2620 Albertslund;12189;12031;14687
Parcel-/rëkkehus;2625 Vallensbëk;14457;15833;16813
Parcel-/rëkkehus;2630 Taastrup;12492;13615;15015
Parcel-/rëkkehus;2635 Ishõj;13035;12871;14730
Parcel-/rëkkehus;2640 Hedehusene;12481;12371;14301
Parcel-/rëkkehus;2650 Hvidovre;13484;13981;16291
Parcel-/rëkkehus;2660 Brõndby Strand;11800;13372;17307
Parcel-/rëkkehus;2665 Vallensbëk Strand;14639;15101;17252
Parcel-/rëkkehus;2670 Greve;13507;14021;15551
Parcel-/rëkkehus;2680 Solrõd Strand;13839;14918;16659
Parcel-/rëkkehus;2690 Karlslunde;12921;14105;15183
Parcel-/rëkkehus;2700 Brõnshõj;13486;15722;19595
Parcel-/rëkkehus;2720 Vanlõse;15058;15884;18769
Parcel-/rëkkehus;2730 Herlev;13748;13619;16794
Parcel-/rëkkehus;2740 Skovlunde;13005;14756;17154
Parcel-/rëkkehus;2750 Ballerup;12588;14095;16686
Parcel-/rëkkehus;2760 MÜlõv;11742;13999;16208
Parcel-/rëkkehus;2765 Smõrum;14781;15062;17079
Parcel-/rëkkehus;2770 Kastrup;13201;15057;16664
Parcel-/rëkkehus;2791 Dragõr;13988;15595;17410
Parcel-/rëkkehus;2800 Kgs.Lyngby;16098;17942;21909
Parcel-/rëkkehus;2820 Gentofte;16720;17407;22885
Parcel-/rëkkehus;2830 Virum;16025;19072;22555
Parcel-/rëkkehus;2840 Holte;17104;18429;20923
Parcel-/rëkkehus;2850 Nërum;18114;17921;22070
Parcel-/rëkkehus;2860 Sõborg;13892;15728;19137
Parcel-/rëkkehus;2870 DyssegÜrd;16895;..;20589
Parcel-/rëkkehus;2880 Bagsvërd;15620;15849;18402
Parcel-/rëkkehus;2900 Hellerup;15937;18618;25421
Parcel-/rëkkehus;2920 Charlottenlund;19349;21467;28098
Parcel-/rëkkehus;2930 Klampenborg;20071;23556;24672
Parcel-/rëkkehus;2942 Skodsborg;..;..;..
Parcel-/rëkkehus;2950 Vedbëk;16719;18675;24926
Parcel-/rëkkehus;2960 Rungsted Kyst;16810;18491;24466
Parcel-/rëkkehus;2970 Hõrsholm;16678;16979;20747
Parcel-/rëkkehus;2980 Kokkedal;12575;14887;14597
Parcel-/rëkkehus;2990 NivÜ;14868;14824;16409
Parcel-/rëkkehus;3000 Helsingõr;12192;13920;16728
Parcel-/rëkkehus;3050 Humlebëk;14141;14436;22341
Parcel-/rëkkehus;3060 Espergërde;14652;15786;19269
Parcel-/rëkkehus;3070 Snekkersten;13540;13339;18703
Parcel-/rëkkehus;3080 Tikõb;..;..;..
Parcel-/rëkkehus;3100 Hornbëk;11689;15183;18142
Parcel-/rëkkehus;3120 Dronningmõlle;12883;14033;13294
Parcel-/rëkkehus;3140 èlsgÜrde;12065;15071;17584
Parcel-/rëkkehus;3150 Hellebëk;..;..;..
Parcel-/rëkkehus;3200 Helsinge;10841;11502;13717
Parcel-/rëkkehus;3210 Vejby;10941;11747;14743
Parcel-/rëkkehus;3220 Tisvildeleje;..;..;..
Parcel-/rëkkehus;3230 Grësted;10840;10970;11959
Parcel-/rëkkehus;3250 Gilleleje;12437;13531;16153
Parcel-/rëkkehus;3300 Frederiksvërk;9675;11630;11520
Parcel-/rëkkehus;3310 ùlsted;11325;..;..
Parcel-/rëkkehus;3320 Skëvinge;7866;11177;13908
Parcel-/rëkkehus;3330 Gõrlõse;9379;10272;..
Parcel-/rëkkehus;3360 Liseleje;11430;15533;..
Parcel-/rëkkehus;3370 Melby;..;..;10856
Parcel-/rëkkehus;3390 Hundested;8423;9829;10906
Parcel-/rëkkehus;3400 Hillerõd;13165;14279;15907
Parcel-/rëkkehus;3450 Allerõd;13791;14616;17316
Parcel-/rëkkehus;3460 Birkerõd;15689;18097;19815
Parcel-/rëkkehus;3480 Fredensborg;13978;14707;16031
Parcel-/rëkkehus;3490 KvistgÜrd;..;..;..
Parcel-/rëkkehus;3500 Vërlõse;14894;15544;18855
Parcel-/rëkkehus;3520 Farum;13156;13908;15829
Parcel-/rëkkehus;3540 Lynge;12644;13674;16042
Parcel-/rëkkehus;3550 Slangerup;12758;13875;15202
Parcel-/rëkkehus;3600 Frederikssund;11109;12137;13697
Parcel-/rëkkehus;3630 Jëgerspris;8821;10795;10095
Parcel-/rëkkehus;3650 ùlstykke;12452;12340;..
Parcel-/rëkkehus;3660 Stenlõse;12657;12508;14760
Parcel-/rëkkehus;3670 Veksõ Sjëlland;13175;14573;15647
Parcel-/rëkkehus;3700 Rõnne;5190;5945;5754
Parcel-/rëkkehus;3720 Aakirkeby;3908;3667;4036
Parcel-/rëkkehus;3730 Nexõ;4424;4540;4757
Parcel-/rëkkehus;3740 Svaneke;6648;6766;6217
Parcel-/rëkkehus;3751 ùstermarie;..;..;3765
Parcel-/rëkkehus;3760 Gudhjem;2608;3339;..
Parcel-/rëkkehus;3770 Allinge;4130;4581;4983
Parcel-/rëkkehus;3782 Klemensker;..;..;2732
Parcel-/rëkkehus;3790 Hasle;4502;5283;6744
Parcel-/rëkkehus;4000 Roskilde;12886;14066;15122
Parcel-/rëkkehus;4030 Tune;13557;13032;14053
Parcel-/rëkkehus;4040 Jyllinge;13085;13145;15584
Parcel-/rëkkehus;4050 Skibby;8985;9663;8574
Parcel-/rëkkehus;4060 Kirke SÜby;9500;10422;11786
Parcel-/rëkkehus;4070 Kirke Hyllinge;10564;10278;11024
Parcel-/rëkkehus;4100 Ringsted;8949;9281;10591
Parcel-/rëkkehus;4130 Viby Sjëlland;11388;10489;11790
Parcel-/rëkkehus;4140 Borup;8552;10042;12324
Parcel-/rëkkehus;4160 Herlufmagle;5955;7306;7027
Parcel-/rëkkehus;4171 Glumsõ;6724;7704;10037
Parcel-/rëkkehus;4173 Fjenneslev;8455;8011;8446
Parcel-/rëkkehus;4174 Jystrup Midtsj;..;..;..
Parcel-/rëkkehus;4180 Sorõ;10877;9941;11282
Parcel-/rëkkehus;4190 Munke Bjergby;..;..;..
Parcel-/rëkkehus;4200 Slagelse;7908;8794;10962
Parcel-/rëkkehus;4220 Korsõr;6294;7023;9014
Parcel-/rëkkehus;4230 Skëlskõr;7131;7516;7833
Parcel-/rëkkehus;4241 Vemmelev;6829;..;9859
Parcel-/rëkkehus;4242 Boeslunde;..;..;..
Parcel-/rëkkehus;4243 Rude;..;..;..
Parcel-/rëkkehus;4250 Fuglebjerg;6888;7448;8021
Parcel-/rëkkehus;4261 Dalmose;4274;4854;..
Parcel-/rëkkehus;4262 Sandved;4912;..;6700
Parcel-/rëkkehus;4270 Hõng;7627;7859;8246
Parcel-/rëkkehus;4281 Gõrlev;6743;6464;7845
Parcel-/rëkkehus;4291 Ruds Vedby;6604;6406;7483
Parcel-/rëkkehus;4293 Dianalund;7473;7529;7809
Parcel-/rëkkehus;4295 Stenlille;7011;7755;6493
Parcel-/rëkkehus;4296 Nyrup;..;..;..
Parcel-/rëkkehus;4300 Holbëk;10458;11998;11853
Parcel-/rëkkehus;4320 Lejre;13320;12105;13914
Parcel-/rëkkehus;4330 Hvalsõ;9336;10633;12029
Parcel-/rëkkehus;4340 Tõllõse;8957;9234;10555
Parcel-/rëkkehus;4350 Ugerlõse;6160;..;..
Parcel-/rëkkehus;4360 Kirke Eskilstrup;..;..;..
Parcel-/rëkkehus;4370 Store Merlõse;7144;7162;..
Parcel-/rëkkehus;4390 Vipperõd;8553;10919;9046
Parcel-/rëkkehus;4400 Kalundborg;7088;7806;8850
Parcel-/rëkkehus;4420 Regstrup;7270;8295;10122
Parcel-/rëkkehus;4440 Mõrkõv;7000;5951;7480
Parcel-/rëkkehus;4450 Jyderup;7309;7571;9007
Parcel-/rëkkehus;4460 Snertinge;7194;7261;7163
Parcel-/rëkkehus;4470 Svebõlle;5812;6899;6110
Parcel-/rëkkehus;4480 Store Fuglede;4466;5754;..
Parcel-/rëkkehus;4490 Jerslev Sjëlland;6667;6688;7558
Parcel-/rëkkehus;4500 Nykõbing Sj;8223;7570;8007
Parcel-/rëkkehus;4520 Svinninge;8215;7877;9803
Parcel-/rëkkehus;4532 Gislinge;7856;8463;10045
Parcel-/rëkkehus;4534 Hõrve;7319;7588;8139
Parcel-/rëkkehus;4540 FÜrevejle;6820;9609;9014
Parcel-/rëkkehus;4550 Asnës;7220;7976;7979
Parcel-/rëkkehus;4560 Vig;6134;7316;8510
Parcel-/rëkkehus;4571 Grevinge;8059;6925;8433
Parcel-/rëkkehus;4572 Nõrre Asmindrup;..;..;..
Parcel-/rëkkehus;4573 Hõjby;6072;6349;..
Parcel-/rëkkehus;4581 Rõrvig;7824;9853;10138
Parcel-/rëkkehus;4583 Sjëllands Odde;4570;..;..
Parcel-/rëkkehus;4591 Fõllenslev;..;6298;6914
Parcel-/rëkkehus;4592 Sejerõ;..;..;..
Parcel-/rëkkehus;4593 Eskebjerg;6377;..;..
Parcel-/rëkkehus;4600 Kõge;11453;13036;13697
Parcel-/rëkkehus;4621 Gadstrup;10050;..;13569
Parcel-/rëkkehus;4622 Havdrup;10197;11541;14557
Parcel-/rëkkehus;4623 Lille Skensved;10837;12972;12663
Parcel-/rëkkehus;4632 Bjëverskov;9540;11469;11433
Parcel-/rëkkehus;4640 Faxe;7570;7391;8589
Parcel-/rëkkehus;4652 HÜrlev;8568;8876;10516
Parcel-/rëkkehus;4653 Karise;8570;7611;10558
Parcel-/rëkkehus;4654 Faxe Ladeplads;8373;8183;10360
Parcel-/rëkkehus;4660 Store Heddinge;7685;7182;9095
Parcel-/rëkkehus;4671 Strõby;..;..;10249
Parcel-/rëkkehus;4672 Klippinge;6628;8839;9514
Parcel-/rëkkehus;4673 Rõdvig Stevns;7316;9663;8522
Parcel-/rëkkehus;4681 Herfõlge;10616;11212;12363
Parcel-/rëkkehus;4682 Tureby;..;10467;9585
Parcel-/rëkkehus;4683 Rõnnede;6509;..;8113
Parcel-/rëkkehus;4684 Holmegaard;7525;7857;9228
Parcel-/rëkkehus;4690 Haslev;7845;9706;10316
Parcel-/rëkkehus;4700 Nëstved;8006;9095;9516
Parcel-/rëkkehus;4720 Prëstõ;7968;5887;8944
Parcel-/rëkkehus;4733 Tappernõje;6632;6346;7283
Parcel-/rëkkehus;4735 Mern;7741;6738;6503
Parcel-/rëkkehus;4736 Karrebëksminde;8936;11815;..
Parcel-/rëkkehus;4750 Lundby;6041;6293;7490
Parcel-/rëkkehus;4760 Vordingborg;7289;7783;8681
Parcel-/rëkkehus;4771 Kalvehave;..;4897;7119
Parcel-/rëkkehus;4772 Langebëk;..;..;..
Parcel-/rëkkehus;4773 Stensved;6950;..;8210
Parcel-/rëkkehus;4780 Stege;5908;6714;8188
Parcel-/rëkkehus;4791 Borre;..;..;..
Parcel-/rëkkehus;4792 Askeby;..;..;6401
Parcel-/rëkkehus;4793 Bogõ By;..;..;..
Parcel-/rëkkehus;4800 Nykõbing F;6245;7255;8137
Parcel-/rëkkehus;4840 Nõrre Alslev;5023;5635;6264
Parcel-/rëkkehus;4850 Stubbekõbing;4716;6088;5992
Parcel-/rëkkehus;4862 Guldborg;5543;4794;..
Parcel-/rëkkehus;4863 Eskilstrup;5798;5609;6224
Parcel-/rëkkehus;4871 Horbelev;4031;4056;..
Parcel-/rëkkehus;4872 Idestrup;6483;6153;5443
Parcel-/rëkkehus;4873 Vëggerlõse;8224;5167;6625
Parcel-/rëkkehus;4874 Gedser;3183;4241;3625
Parcel-/rëkkehus;4880 Nysted;3877;..;6409
Parcel-/rëkkehus;4891 Toreby L;..;6031;4564
Parcel-/rëkkehus;4892 Kettinge;4333;..;4871
Parcel-/rëkkehus;4894 ùster Ulslev;3602;..;..
Parcel-/rëkkehus;4895 Errindlev;..;3691;..
Parcel-/rëkkehus;4900 Nakskov;4721;4722;5080
Parcel-/rëkkehus;4912 Harpelunde;..;..;..
Parcel-/rëkkehus;4913 Horslunde;2916;3162;4307
Parcel-/rëkkehus;4920 Sõllested;3551;3689;4004
Parcel-/rëkkehus;4930 Maribo;5347;5823;5547
Parcel-/rëkkehus;4941 Bandholm;..;..;..
Parcel-/rëkkehus;4943 Torrig L;..;..;..
Parcel-/rëkkehus;4944 Fejõ;..;..;..
Parcel-/rëkkehus;4951 Nõrreballe;..;4104;..
Parcel-/rëkkehus;4952 Stokkemarke;2390;4000;..
Parcel-/rëkkehus;4953 Vesterborg;..;..;..
Parcel-/rëkkehus;4960 Holeby;4135;3426;4288
Parcel-/rëkkehus;4970 Rõdby;3908;4056;4861
Parcel-/rëkkehus;4983 Dannemare;2548;..;..
Parcel-/rëkkehus;4990 Sakskõbing;4449;4866;4783
Parcel-/rëkkehus;5000 Odense C;7605;8194;10179
Parcel-/rëkkehus;5200 Odense V;6755;7227;8378
Parcel-/rëkkehus;5210 Odense NV;7475;8183;9305
Parcel-/rëkkehus;5220 Odense Sù;6794;8538;9696
Parcel-/rëkkehus;5230 Odense M;8661;10281;12193
Parcel-/rëkkehus;5240 Odense Nù;6553;7408;7722
Parcel-/rëkkehus;5250 Odense SV;7703;8390;10503
Parcel-/rëkkehus;5260 Odense S;8232;8718;9337
Parcel-/rëkkehus;5270 Odense N;7988;7849;8836
Parcel-/rëkkehus;5290 Marslev;..;..;..
Parcel-/rëkkehus;5300 Kerteminde;9063;9325;9227
Parcel-/rëkkehus;5320 Agedrup;7584;8174;9221
Parcel-/rëkkehus;5330 Munkebo;6117;6342;7566
Parcel-/rëkkehus;5350 Rynkeby;..;..;..
Parcel-/rëkkehus;5370 Mesinge;..;..;..
Parcel-/rëkkehus;5380 Dalby;..;..;..
Parcel-/rëkkehus;5390 Martofte;..;..;..
Parcel-/rëkkehus;5400 Bogense;5292;4855;7193
Parcel-/rëkkehus;5450 Otterup;5269;5493;6219
Parcel-/rëkkehus;5462 Morud;6199;..;7697
Parcel-/rëkkehus;5463 Harndrup;..;4212;..
Parcel-/rëkkehus;5464 Brenderup Fyn;6252;5132;..
Parcel-/rëkkehus;5466 Asperup;..;..;5542
Parcel-/rëkkehus;5471 Sõndersõ;5756;5508;5170
Parcel-/rëkkehus;5474 Veflinge;..;4950;..
Parcel-/rëkkehus;5485 Skamby;..;..;..
Parcel-/rëkkehus;5491 Blommenslyst;..;..;7870
Parcel-/rëkkehus;5492 Vissenbjerg;4532;6453;5575
Parcel-/rëkkehus;5500 Middelfart;7593;8421;9199
Parcel-/rëkkehus;5540 Ullerslev;5634;6070;6397
Parcel-/rëkkehus;5550 Langeskov;5508;6702;6422
Parcel-/rëkkehus;5560 Aarup;4997;5559;5939
Parcel-/rëkkehus;5580 Nõrre Aaby;5505;6465;5740
Parcel-/rëkkehus;5591 Gelsted;3889;..;5618
Parcel-/rëkkehus;5592 Ejby;6105;4604;5781
Parcel-/rëkkehus;5600 Faaborg;5789;5379;5681
Parcel-/rëkkehus;5610 Assens;5694;6658;6288
Parcel-/rëkkehus;5620 Glamsbjerg;4870;5417;5254
Parcel-/rëkkehus;5631 Ebberup;5263;4774;5757
Parcel-/rëkkehus;5642 Millinge;..;..;..
Parcel-/rëkkehus;5672 Broby;6120;5218;4737
Parcel-/rëkkehus;5683 Haarby;5430;4874;5396
Parcel-/rëkkehus;5690 Tommerup;6275;5339;5999
Parcel-/rëkkehus;5700 Svendborg;7538;8031;8793
Parcel-/rëkkehus;5750 Ringe;4782;5358;5998
Parcel-/rëkkehus;5762 Vester Skerninge;5530;5422;7507
Parcel-/rëkkehus;5771 Stenstrup;5812;4995;6184
Parcel-/rëkkehus;5772 Kvërndrup;..;..;6589
Parcel-/rëkkehus;5792 èrslev;5709;6190;6613
Parcel-/rëkkehus;5800 Nyborg;7090;7200;8509
Parcel-/rëkkehus;5853 ùrbëk;4780;4999;6231
Parcel-/rëkkehus;5854 Gislev;..;..;5435
Parcel-/rëkkehus;5856 Ryslinge;..;6000;..
Parcel-/rëkkehus;5863 Ferritslev Fyn;..;5592;6895
Parcel-/rëkkehus;5871 Frõrup;..;5472;..
Parcel-/rëkkehus;5874 Hesselager;6030;7500;5822
Parcel-/rëkkehus;5881 SkÜrup Fyn;..;..;6932
Parcel-/rëkkehus;5882 Vejstrup;..;..;..
Parcel-/rëkkehus;5883 Oure;..;..;..
Parcel-/rëkkehus;5884 Gudme;..;..;..
Parcel-/rëkkehus;5892 Gudbjerg Sydfyn;..;..;..
Parcel-/rëkkehus;5900 Rudkõbing;4362;5173;5702
Parcel-/rëkkehus;5932 Humble;..;3608;..
Parcel-/rëkkehus;5935 Bagenkop;..;..;..
Parcel-/rëkkehus;5953 Tranekër;3533;5050;3783
Parcel-/rëkkehus;5960 Marstal;..;4052;5748
Parcel-/rëkkehus;5970 írõskõbing;..;5909;..
Parcel-/rëkkehus;5985 Sõby írõ;..;..;..
Parcel-/rëkkehus;6000 Kolding;8066;9138;10338
Parcel-/rëkkehus;6040 Egtved;4541;6886;7063
Parcel-/rëkkehus;6051 Almind;4462;..;..
Parcel-/rëkkehus;6052 Viuf;..;..;6136
Parcel-/rëkkehus;6064 Jordrup;..;..;8041
Parcel-/rëkkehus;6070 Christiansfeld;5327;5781;5917
Parcel-/rëkkehus;6091 Bjert;..;..;8125
Parcel-/rëkkehus;6092 Sõnder Stenderup;..;..;..
Parcel-/rëkkehus;6093 Sjõlund;..;..;..
Parcel-/rëkkehus;6094 Hejls;..;..;..
Parcel-/rëkkehus;6100 Haderslev;6193;6676;7755
Parcel-/rëkkehus;6200 Aabenraa;6516;6444;7432
Parcel-/rëkkehus;6230 Rõdekro;4360;5520;6291
Parcel-/rëkkehus;6240 Lõgumkloster;4694;3935;4073
Parcel-/rëkkehus;6261 Bredebro;2888;..;4037
Parcel-/rëkkehus;6270 Tõnder;5580;6390;4729
Parcel-/rëkkehus;6280 Hõjer;3320;..;3106
Parcel-/rëkkehus;6300 GrÜsten;4851;5975;5579
Parcel-/rëkkehus;6310 Broager;4792;6091;6321
Parcel-/rëkkehus;6320 Egernsund;..;..;..
Parcel-/rëkkehus;6330 Padborg;3975;5209;5058
Parcel-/rëkkehus;6340 KrusÜ;4666;4492;5997
Parcel-/rëkkehus;6360 Tinglev;4285;3963;..
Parcel-/rëkkehus;6372 Bylderup-Bov;2665;3176;3414
Parcel-/rëkkehus;6392 Bolderslev;..;..;..
Parcel-/rëkkehus;6400 Sõnderborg;6889;7546;8496
Parcel-/rëkkehus;6430 Nordborg;4465;4615;5254
Parcel-/rëkkehus;6440 Augustenborg;4708;5188;5878
Parcel-/rëkkehus;6470 Sydals;5364;5715;6457
Parcel-/rëkkehus;6500 Vojens;5078;5539;6098
Parcel-/rëkkehus;6510 Gram;3544;3496;3956
Parcel-/rëkkehus;6520 Toftlund;..;..;5283
Parcel-/rëkkehus;6534 Agerskov;..;..;4643
Parcel-/rëkkehus;6535 Branderup J;..;..;..
Parcel-/rëkkehus;6541 Bevtoft;..;..;..
Parcel-/rëkkehus;6560 Sommersted;..;5032;4385
Parcel-/rëkkehus;6580 Vamdrup;5876;7006;7190
Parcel-/rëkkehus;6600 Vejen;5599;7004;6769
Parcel-/rëkkehus;6621 Gesten;..;..;..
Parcel-/rëkkehus;6622 Bëkke;..;3625;..
Parcel-/rëkkehus;6623 Vorbasse;..;..;..
Parcel-/rëkkehus;6630 Rõdding;4430;4413;4614
Parcel-/rëkkehus;6640 Lunderskov;7023;6559;6198
Parcel-/rëkkehus;6650 Brõrup;4435;5821;5413
Parcel-/rëkkehus;6660 Lintrup;..;..;..
Parcel-/rëkkehus;6670 Holsted;4608;4455;5376
Parcel-/rëkkehus;6682 Hovborg;..;..;..
Parcel-/rëkkehus;6683 Fõvling;..;..;..
Parcel-/rëkkehus;6690 Gõrding;2460;3109;5075
Parcel-/rëkkehus;6700 Esbjerg;6972;7218;8817
Parcel-/rëkkehus;6705 Esbjerg ù;7031;6901;6988
Parcel-/rëkkehus;6710 Esbjerg V;7591;8051;8527
Parcel-/rëkkehus;6715 Esbjerg N;6585;7364;9003
Parcel-/rëkkehus;6720 Fanõ;7604;5657;8331
Parcel-/rëkkehus;6731 Tjëreborg;5605;5462;..
Parcel-/rëkkehus;6740 Bramming;5820;6253;6349
Parcel-/rëkkehus;6752 Glejbjerg;..;..;..
Parcel-/rëkkehus;6753 Agerbëk;..;..;..
Parcel-/rëkkehus;6760 Ribe;5840;6785;6933
Parcel-/rëkkehus;6771 Gredstedbro;5050;5493;5523
Parcel-/rëkkehus;6780 Skërbëk;3454;3479;3837
Parcel-/rëkkehus;6792 Rõmõ;..;..;..
Parcel-/rëkkehus;6800 Varde;5940;6721;6531
Parcel-/rëkkehus;6818 èrre;4416;5362;..
Parcel-/rëkkehus;6823 Ansager;4289;3498;..
Parcel-/rëkkehus;6830 Nõrre Nebel;4056;4768;5949
Parcel-/rëkkehus;6840 Oksbõl;6092;5234;6310
Parcel-/rëkkehus;6851 Janderup Vestj;..;..;6307
Parcel-/rëkkehus;6852 Billum;..;..;..
Parcel-/rëkkehus;6853 Vejers Strand;..;..;..
Parcel-/rëkkehus;6854 Henne;..;..;..
Parcel-/rëkkehus;6855 Outrup;..;..;5176
Parcel-/rëkkehus;6857 BlÜvand;..;..;..
Parcel-/rëkkehus;6862 Tistrup;..;4449;5866
Parcel-/rëkkehus;6870 ùlgod;4560;5325;4481
Parcel-/rëkkehus;6880 Tarm;4111;4024;4745
Parcel-/rëkkehus;6893 Hemmet;3186;3034;..
Parcel-/rëkkehus;6900 Skjern;4919;5395;5538
Parcel-/rëkkehus;6920 Videbëk;5036;4008;5469
Parcel-/rëkkehus;6933 Kibëk;4511;5228;5758
Parcel-/rëkkehus;6940 Lem St;5190;..;3914
Parcel-/rëkkehus;6950 Ringkõbing;7248;7199;7683
Parcel-/rëkkehus;6960 Hvide Sande;4089;5146;5726
Parcel-/rëkkehus;6971 Spjald;5130;..;..
Parcel-/rëkkehus;6973 ùrnhõj;..;..;..
Parcel-/rëkkehus;6980 Tim;..;..;2879
Parcel-/rëkkehus;6990 Ulfborg;4120;4468;4062
Parcel-/rëkkehus;7000 Fredericia;7376;7958;8559
Parcel-/rëkkehus;7080 Bõrkop;6371;7442;8495
Parcel-/rëkkehus;7100 Vejle;7609;8011;9052
Parcel-/rëkkehus;7120 Vejle ùst;9833;9734;12265
Parcel-/rëkkehus;7130 Juelsminde;5188;7887;7828
Parcel-/rëkkehus;7140 Stouby;4525;5103;4680
Parcel-/rëkkehus;7150 Barrit;..;..;..
Parcel-/rëkkehus;7160 Tõrring;5987;6958;5938
Parcel-/rëkkehus;7171 Uldum;5978;5493;5894
Parcel-/rëkkehus;7173 Vonge;..;..;..
Parcel-/rëkkehus;7182 Bredsten;4511;6429;7159
Parcel-/rëkkehus;7183 Randbõl;..;..;..
Parcel-/rëkkehus;7184 Vandel;3904;..;..
Parcel-/rëkkehus;7190 Billund;6563;6746;6999
Parcel-/rëkkehus;7200 Grindsted;5879;6283;6354
Parcel-/rëkkehus;7250 Hejnsvig;4574;..;4191
Parcel-/rëkkehus;7260 Sõnder Omme;4519;5035;4917
Parcel-/rëkkehus;7270 Stakroge;..;..;..
Parcel-/rëkkehus;7280 Sõnder Felding;..;..;..
Parcel-/rëkkehus;7300 Jelling;5537;5918;7005
Parcel-/rëkkehus;7321 Gadbjerg;..;..;4585
Parcel-/rëkkehus;7323 Give;5485;4737;6000
Parcel-/rëkkehus;7330 Brande;5680;5259;5844
Parcel-/rëkkehus;7361 Ejstrupholm;5825;4634;4715
Parcel-/rëkkehus;7362 Hampen;..;..;5388
Parcel-/rëkkehus;7400 Herning;6325;7017;8084
Parcel-/rëkkehus;7430 Ikast;6492;6652;7452
Parcel-/rëkkehus;7441 Bording;4617;4986;5434
Parcel-/rëkkehus;7442 Engesvang;5848;..;6267
Parcel-/rëkkehus;7451 Sunds;4923;..;6807
Parcel-/rëkkehus;7470 Karup J;5328;4776;..
Parcel-/rëkkehus;7480 Vildbjerg;5493;5588;5586
Parcel-/rëkkehus;7490 Aulum;4757;..;5256
