type;area;Q4_05;Q4_06;Q4_07;
Parcel-/rækkehus;8270 Højbjerg;19609;23849;23997;
Parcel-/rækkehus;8300 Odder;10777;12837;13877;
Parcel-/rækkehus;8305 Samsø;5778;8539;8737;
Parcel-/rækkehus;8310 Tranbjerg J;16306;15421;16856;
Parcel-/rækkehus;8320 Mårslet;16233;..;17534;
Parcel-/rækkehus;8330 Beder;18992;..;16155;
Parcel-/rækkehus;8340 Malling;..;..;..;
Parcel-/rækkehus;8350 Hundslund;..;..;..;
Parcel-/rækkehus;8355 Solbjerg;13195;13388;16622;
Parcel-/rækkehus;8361 Hasselager;14454;18541;18191;
Parcel-/rækkehus;8362 Hørning;13663;16378;15720;
Parcel-/rækkehus;8370 Hadsten;9730;14500;11561;
Parcel-/rækkehus;8380 Trige;13397;..;..;
Parcel-/rækkehus;8381 Tilst;15278;16141;16117;
Parcel-/rækkehus;8382 Hinnerup;14774;15082;13656;
Parcel-/rækkehus;8400 Ebeltoft;10626;12649;14134;
Parcel-/rækkehus;8410 Rønde;11439;13476;12518;
Parcel-/rækkehus;8420 Knebel;10212;8536;..;
Parcel-/rækkehus;8444 Balle;..;..;..;
Parcel-/rækkehus;8450 Hammel;9513;11168;12324;
Parcel-/rækkehus;8462 Harlev J;11964;..;15948;
Parcel-/rækkehus;8464 Galten;13332;14057;14800;
Parcel-/rækkehus;8471 Sabro;10223;9256;16803;
Parcel-/rækkehus;8472 Sporup;..;..;..;
Parcel-/rækkehus;8500 Grenaa;7319;8244;9424;
Parcel-/rækkehus;8520 Lystrup;15684;..;18284;
Parcel-/rækkehus;8530 Hjortshøj;14540;14302;17078;
Parcel-/rækkehus;8541 Skødstrup;13809;16418;14998;
Parcel-/rækkehus;8543 Hornslet;11546;13266;13293;
Parcel-/rækkehus;8544 Mørke;8146;..;8250;
Parcel-/rækkehus;8550 Ryomgård;6228;8385;9333;
Parcel-/rækkehus;8560 Kolind;5887;7583;7401;
Parcel-/rækkehus;8570 Trustrup;5041;8113;..;
Parcel-/rækkehus;8581 Nimtofte;4090;..;6643;
Parcel-/rækkehus;8585 Glesborg;6322;8331;7400;
Parcel-/rækkehus;8586 Ørum Djurs;4756;..;7752;
Parcel-/rækkehus;8592 Anholt;..;..;..;
Parcel-/rækkehus;8600 Silkeborg;12092;16034;15706;
Parcel-/rækkehus;8620 Kjellerup;6094;7930;8388;
Parcel-/rækkehus;8632 Lemming;..;..;..;
Parcel-/rækkehus;8641 Sorring;..;..;..;
Parcel-/rækkehus;8643 Ans By;7342;..;..;
Parcel-/rækkehus;8653 Them;8170;10424;13793;
Parcel-/rækkehus;8654 Bryrup;5868;..;11090;
Parcel-/rækkehus;8660 Skanderborg;13111;13829;15059;
Parcel-/rækkehus;8670 Låsby;9274;..;..;
Parcel-/rækkehus;8680 Ry;13099;16969;15526;
Parcel-/rækkehus;8700 Horsens;10003;12389;12782;
Parcel-/rækkehus;8721 Daugård;..;..;11571;
Parcel-/rækkehus;8722 Hedensted;9540;9752;12672;
Parcel-/rækkehus;8723 Løsning;9035;9781;12515;
Parcel-/rækkehus;8732 Hovedgård;9499;8522;11050;
Parcel-/rækkehus;8740 Brædstrup;5833;7355;9551;
Parcel-/rækkehus;8751 Gedved;8088;..;11581;
Parcel-/rækkehus;8752 Østbirk;6495;9173;..;
Parcel-/rækkehus;8762 Flemming;..;..;..;
Parcel-/rækkehus;8763 Rask Mølle;6638;7017;..;
Parcel-/rækkehus;8765 Klovborg;..;..;..;
Parcel-/rækkehus;8766 Nørre Snede;6485;7540;6684;
Parcel-/rækkehus;8781 Stenderup;..;..;..;
Parcel-/rækkehus;8783 Hornsyld;..;8724;13331;
Parcel-/rækkehus;8800 Viborg;9985;12022;12339;
Parcel-/rækkehus;8830 Tjele;4825;5608;7521;
Parcel-/rækkehus;8831 Løgstrup;8719;..;11048;
Parcel-/rækkehus;8832 Skals;5149;6720;..;
Parcel-/rækkehus;8840 Rødkærsbro;6113;6971;8941;
Parcel-/rækkehus;8850 Bjerringbro;6122;7588;8619;
Parcel-/rækkehus;8860 Ulstrup;6450;7234;8323;
Parcel-/rækkehus;8870 Langå;8043;10363;8854;
Parcel-/rækkehus;8881 Thorsø;7251;..;8311;
Parcel-/rækkehus;8882 Fårvang;..;..;..;
Parcel-/rækkehus;8883 Gjern;..;..;11544;
Parcel-/rækkehus;8900 Randers C;11450;14758;..;
Parcel-/rækkehus;8920 Randers NV;9539;11549;11134;
Parcel-/rækkehus;8930 Randers NØ;9073;11162;10907;
Parcel-/rækkehus;8940 Randers SV;8954;11966;10112;
Parcel-/rækkehus;8950 Ørsted;4471;5311;7575;
Parcel-/rækkehus;8960 Randers SØ;10004;11411;12758;
Parcel-/rækkehus;8961 Allingåbro;6347;..;7155;
Parcel-/rækkehus;8963 Auning;7721;8940;6967;
Parcel-/rækkehus;8970 Havndal;4138;5573;..;
Parcel-/rækkehus;8981 Spentrup;7522;7757;9373;
Parcel-/rækkehus;8983 Gjerlev J;5035;5484;6001;
Parcel-/rækkehus;8990 Fårup;5773;6738;..;
Parcel-/rækkehus;9000 Aalborg;14693;15095;15522;
Parcel-/rækkehus;9200 Aalborg SV;11529;14148;13015;
Parcel-/rækkehus;9210 Aalborg SØ;10990;13084;14400;
Parcel-/rækkehus;9220 Aalborg Øst;9930;11987;12162;
Parcel-/rækkehus;9230 Svenstrup J;9689;10765;10936;
Parcel-/rækkehus;9240 Nibe;6232;10338;7608;
Parcel-/rækkehus;9260 Gistrup;10304;10726;15035;
Parcel-/rækkehus;9270 Klarup;8500;11407;11795;
Parcel-/rækkehus;9280 Storvorde;6505;10126;8509;
Parcel-/rækkehus;9293 Kongerslev;4849;..;4646;
Parcel-/rækkehus;9300 Sæby;6719;7283;7166;
Parcel-/rækkehus;9310 Vodskov;8214;10669;11349;
Parcel-/rækkehus;9320 Hjallerup;5370;7044;7952;
Parcel-/rækkehus;9330 Dronninglund;4983;6027;6513;
Parcel-/rækkehus;9340 Asaa;..;..;7228;
Parcel-/rækkehus;9352 Dybvad;..;..;..;
Parcel-/rækkehus;9362 Gandrup;5640;..;7032;
Parcel-/rækkehus;9370 Hals;6703;6554;9032;
Parcel-/rækkehus;9380 Vestbjerg;7899;10064;..;
Parcel-/rækkehus;9381 Sulsted;..;..;7428;
Parcel-/rækkehus;9382 Tylstrup;6441;6787;6594;
Parcel-/rækkehus;9400 Nørresundby;10307;12593;12352;
Parcel-/rækkehus;9430 Vadum;7348;..;9594;
Parcel-/rækkehus;9440 Aabybro;6793;10057;7941;
Parcel-/rækkehus;9460 Brovst;4655;4335;4715;
Parcel-/rækkehus;9480 Løkken;6156;4829;10251;
Parcel-/rækkehus;9490 Pandrup;6170;7250;7009;
Parcel-/rækkehus;9492 Blokhus;16056;13191;14392;
Parcel-/rækkehus;9493 Saltum;..;..;..;
Parcel-/rækkehus;9500 Hobro;6589;7010;7560;
Parcel-/rækkehus;9510 Arden;6188;..;6458;
Parcel-/rækkehus;9520 Skørping;6219;7877;10157;
Parcel-/rækkehus;9530 Støvring;8838;9778;11355;
Parcel-/rækkehus;9541 Suldrup;5358;5766;7702;
Parcel-/rækkehus;9550 Mariager;6127;6882;7731;
Parcel-/rækkehus;9560 Hadsund;6968;6581;7790;
Parcel-/rækkehus;9574 Bælum;..;..;5223;
Parcel-/rækkehus;9575 Terndrup;..;..;..;
Parcel-/rækkehus;9600 Aars;5260;6341;7800;
Parcel-/rækkehus;9610 Nørager;5078;4549;6037;
Parcel-/rækkehus;9620 Aalestrup;5610;4109;5815;
Parcel-/rækkehus;9631 Gedsted;..;..;..;
Parcel-/rækkehus;9632 Møldrup;..;..;..;
Parcel-/rækkehus;9640 Farsø;4613;5375;5488;
Parcel-/rækkehus;9670 Løgstør;4716;6039;5110;
Parcel-/rækkehus;9681 Ranum;3447;4000;..;
Parcel-/rækkehus;9690 Fjerritslev;4477;4995;5491;
Parcel-/rækkehus;9700 Brønderslev;5794;6433;7745;
Parcel-/rækkehus;9740 Jerslev J;4367;3636;4949;
Parcel-/rækkehus;9750 Østervrå;..;4546;5081;
Parcel-/rækkehus;9760 Vrå;4534;4482;5077;
Parcel-/rækkehus;9800 Hjørring;6599;7512;8716;
Parcel-/rækkehus;9830 Tårs;5732;4321;6062;
Parcel-/rækkehus;9850 Hirtshals;5423;5828;6468;
Parcel-/rækkehus;9870 Sindal;4337;5540;5326;
Parcel-/rækkehus;9881 Bindslev;..;..;6976;
Parcel-/rækkehus;9900 Frederikshavn;6701;8063;7675;
Parcel-/rækkehus;9940 Læsø;5844;7424;..;
Parcel-/rækkehus;9970 Strandby;..;..;7652;
Parcel-/rækkehus;9981 Jerup;..;..;..;
Parcel-/rækkehus;9982 Ålbæk;..;..;..;
Parcel-/rækkehus;9990 Skagen;10017;14133;14732;
Ejerlejlighed;1000-1499 Kbh.K.;35044;36740;33361;
Ejerlejlighed;1500-1799 Kbh.V.;30565;30372;26722;
Ejerlejlighed;1800-1999 Frederiksberg C;31136;32771;29515;
Ejerlejlighed;2000 Frederiksberg;30531;31220;27269;
Ejerlejlighed;2100 København Ø;31337;32001;27646;
Ejerlejlighed;2150 Nordhavn;..;..;..;
Ejerlejlighed;2200 København N;29904;29996;25801;
Ejerlejlighed;2300 København S;29174;29352;25319;
Ejerlejlighed;2400 København NV;26970;25128;21480;
Ejerlejlighed;2450 København SV;28258;27193;26473;
Ejerlejlighed;2500 Valby;26552;26967;22505;
Ejerlejlighed;2600 Glostrup;20337;23468;19255;
Ejerlejlighed;2605 Brøndby;..;23030;..;
Ejerlejlighed;2610 Rødovre;22466;23955;21338;
Ejerlejlighed;2620 Albertslund;18275;23131;20070;
Ejerlejlighed;2625 Vallensbæk;..;..;..;
Ejerlejlighed;2630 Taastrup;18052;21209;18535;
Ejerlejlighed;2635 Ishøj;17136;21879;20787;
Ejerlejlighed;2640 Hedehusene;15673;..;18058;
Ejerlejlighed;2650 Hvidovre;20233;24387;22364;
Ejerlejlighed;2660 Brøndby Strand;..;..;..;
Ejerlejlighed;2665 Vallensbæk Strand;17966;20040;17525;
Ejerlejlighed;2670 Greve;22351;27588;24456;
Ejerlejlighed;2680 Solrød Strand;21998;..;..;
Ejerlejlighed;2690 Karlslunde;..;..;..;
Ejerlejlighed;2700 Brønshøj;25961;25608;21075;
Ejerlejlighed;2720 Vanløse;26776;26218;22273;
Ejerlejlighed;2730 Herlev;22252;25280;22496;
Ejerlejlighed;2740 Skovlunde;..;..;..;
Ejerlejlighed;2750 Ballerup;21595;21228;..;
Ejerlejlighed;2760 Måløv;..;21128;23565;
Ejerlejlighed;2765 Smørum;..;22811;20953;
Ejerlejlighed;2770 Kastrup;25129;26823;23432;
Ejerlejlighed;2791 Dragør;..;..;..;
Ejerlejlighed;2800 Kgs.Lyngby;27726;29832;24390;
Ejerlejlighed;2820 Gentofte;26354;26222;25217;
Ejerlejlighed;2830 Virum;25532;28195;25186;
Ejerlejlighed;2840 Holte;24910;35473;31715;
Ejerlejlighed;2850 Nærum;26785;..;..;
Ejerlejlighed;2860 Søborg;23660;26766;22128;
Ejerlejlighed;2870 Dyssegård;24009;24950;21083;
Ejerlejlighed;2880 Bagsværd;23989;27302;22501;
Ejerlejlighed;2900 Hellerup;34022;35693;37496;
Ejerlejlighed;2920 Charlottenlund;31525;37246;30388;
Ejerlejlighed;2930 Klampenborg;44303;42874;..;
Ejerlejlighed;2942 Skodsborg;37630;35448;36650;
Ejerlejlighed;2950 Vedbæk;35667;..;..;
Ejerlejlighed;2960 Rungsted Kyst;..;..;..;
Ejerlejlighed;2970 Hørsholm;26249;28441;26973;
Ejerlejlighed;2980 Kokkedal;15724;17945;16237;
Ejerlejlighed;2990 Nivå;..;..;..;
Ejerlejlighed;3000 Helsingør;22158;23500;19655;
Ejerlejlighed;3050 Humlebæk;19426;19365;15903;
Ejerlejlighed;3060 Espergærde;18768;21761;24638;
Ejerlejlighed;3070 Snekkersten;..;..;..;
Ejerlejlighed;3080 Tikøb;..;..;..;
Ejerlejlighed;3100 Hornbæk;..;..;..;
Ejerlejlighed;3120 Dronningmølle;..;..;..;
Ejerlejlighed;3140 Ålsgårde;..;..;..;
Ejerlejlighed;3150 Hellebæk;..;..;..;
Ejerlejlighed;3200 Helsinge;15895;..;..;
Ejerlejlighed;3210 Vejby;..;..;..;
Ejerlejlighed;3220 Tisvildeleje;..;..;..;
Ejerlejlighed;3230 Græsted;..;..;..;
Ejerlejlighed;3250 Gilleleje;..;..;..;
Ejerlejlighed;3300 Frederiksværk;17775;22612;18158;
Ejerlejlighed;3310 Ølsted;..;..;..;
Ejerlejlighed;3320 Skævinge;..;..;..;
Ejerlejlighed;3330 Gørløse;..;..;..;
Ejerlejlighed;3360 Liseleje;..;..;..;
Ejerlejlighed;3370 Melby;..;..;..;
Ejerlejlighed;3390 Hundested;..;..;..;
Ejerlejlighed;3400 Hillerød;22107;25309;22619;
Ejerlejlighed;3450 Allerød;21849;..;21854;
Ejerlejlighed;3460 Birkerød;23128;26919;22246;
Ejerlejlighed;3480 Fredensborg;..;22763;17849;
Ejerlejlighed;3490 Kvistgård;..;..;..;
Ejerlejlighed;3500 Værløse;20961;23902;22596;
Ejerlejlighed;3520 Farum;20719;22847;20238;
Ejerlejlighed;3540 Lynge;..;..;..;
Ejerlejlighed;3550 Slangerup;..;..;..;
Ejerlejlighed;3600 Frederikssund;20066;..;..;
Ejerlejlighed;3630 Jægerspris;..;..;..;
Ejerlejlighed;3650 Ølstykke;23242;..;..;
Ejerlejlighed;3660 Stenløse;..;..;..;
Ejerlejlighed;3670 Veksø Sjælland;..;..;..;
Ejerlejlighed;3700 Rønne;..;..;..;
Ejerlejlighed;3720 Aakirkeby;..;..;..;
Ejerlejlighed;3730 Nexø;..;..;..;
Ejerlejlighed;3740 Svaneke;..;..;..;
Ejerlejlighed;3751 Østermarie;..;..;..;
Ejerlejlighed;3760 Gudhjem;..;..;..;
Ejerlejlighed;3770 Allinge;..;..;..;
Ejerlejlighed;3782 Klemensker;..;..;..;
Ejerlejlighed;3790 Hasle;..;..;..;
Ejerlejlighed;4000 Roskilde;20914;24840;22830;
Ejerlejlighed;4030 Tune;..;..;..;
Ejerlejlighed;4040 Jyllinge;..;..;..;
Ejerlejlighed;4050 Skibby;..;..;..;
Ejerlejlighed;4060 Kirke Såby;..;..;..;
Ejerlejlighed;4070 Kirke Hyllinge;..;..;..;
Ejerlejlighed;4100 Ringsted;12512;17109;14658;
Ejerlejlighed;4130 Viby Sjælland;..;..;..;
Ejerlejlighed;4140 Borup;..;..;..;
Ejerlejlighed;4160 Herlufmagle;..;..;..;
Ejerlejlighed;4171 Glumsø;..;..;..;
Ejerlejlighed;4173 Fjenneslev;..;..;..;
Ejerlejlighed;4174 Jystrup Midtsj;..;..;..;
Ejerlejlighed;4180 Sorø;12937;..;..;
Ejerlejlighed;4190 Munke Bjergby;..;..;..;
Ejerlejlighed;4200 Slagelse;12874;15231;14885;
Ejerlejlighed;4220 Korsør;8382;9232;9502;
Ejerlejlighed;4230 Skælskør;..;..;..;
Ejerlejlighed;4241 Vemmelev;..;..;..;
Ejerlejlighed;4242 Boeslunde;..;..;..;
Ejerlejlighed;4243 Rude;..;..;..;
Ejerlejlighed;4250 Fuglebjerg;..;..;..;
Ejerlejlighed;4261 Dalmose;..;..;..;
Ejerlejlighed;4262 Sandved;..;..;..;
Ejerlejlighed;4270 Høng;..;..;..;
Ejerlejlighed;4281 Gørlev;..;..;..;
Ejerlejlighed;4291 Ruds Vedby;..;..;..;
Ejerlejlighed;4293 Dianalund;..;..;..;
Ejerlejlighed;4295 Stenlille;..;..;..;
Ejerlejlighed;4296 Nyrup;..;..;..;
Ejerlejlighed;4300 Holbæk;20422;25125;22700;
Ejerlejlighed;4320 Lejre;..;..;..;
Ejerlejlighed;4330 Hvalsø;..;..;..;
Ejerlejlighed;4340 Tølløse;..;..;..;
Ejerlejlighed;4350 Ugerløse;..;..;..;
Ejerlejlighed;4360 Kirke Eskilstrup;..;..;..;
Ejerlejlighed;4370 Store Merløse;..;..;..;
Ejerlejlighed;4390 Vipperød;..;..;..;
Ejerlejlighed;4400 Kalundborg;..;11873;13030;
Ejerlejlighed;4420 Regstrup;..;..;..;
Ejerlejlighed;4440 Mørkøv;..;..;..;
Ejerlejlighed;4450 Jyderup;..;..;..;
Ejerlejlighed;4460 Snertinge;..;..;..;
Ejerlejlighed;4470 Svebølle;..;..;..;
Ejerlejlighed;4480 Store Fuglede;..;..;..;
Ejerlejlighed;4490 Jerslev Sjælland;..;..;..;
Ejerlejlighed;4500 Nykøbing Sj;13372;14520;16278;
Ejerlejlighed;4520 Svinninge;..;..;..;
Ejerlejlighed;4532 Gislinge;..;..;..;
Ejerlejlighed;4534 Hørve;..;..;..;
Ejerlejlighed;4540 Fårevejle;..;..;..;
Ejerlejlighed;4550 Asnæs;..;..;..;
Ejerlejlighed;4560 Vig;..;..;..;
Ejerlejlighed;4571 Grevinge;..;..;..;
Ejerlejlighed;4572 Nørre Asmindrup;..;..;..;
Ejerlejlighed;4573 Højby;..;..;..;
Ejerlejlighed;4581 Rørvig;..;..;..;
Ejerlejlighed;4583 Sjællands Odde;..;..;..;
Ejerlejlighed;4591 Føllenslev;..;..;..;
Ejerlejlighed;4592 Sejerø;..;..;..;
Ejerlejlighed;4593 Eskebjerg;..;..;..;
Ejerlejlighed;4600 Køge;18668;24028;19917;
Ejerlejlighed;4621 Gadstrup;..;..;..;
Ejerlejlighed;4622 Havdrup;..;..;..;
Ejerlejlighed;4623 Lille Skensved;..;..;..;
Ejerlejlighed;4632 Bjæverskov;..;..;..;
Ejerlejlighed;4640 Faxe;..;..;..;
Ejerlejlighed;4652 Hårlev;..;..;..;
Ejerlejlighed;4653 Karise;..;..;..;
Ejerlejlighed;4654 Faxe Ladeplads;..;..;..;
Ejerlejlighed;4660 Store Heddinge;..;..;..;
Ejerlejlighed;4671 Strøby;..;..;..;
Ejerlejlighed;4672 Klippinge;..;..;..;
Ejerlejlighed;4673 Rødvig Stevns;..;..;..;
Ejerlejlighed;4681 Herfølge;..;..;21081;
Ejerlejlighed;4682 Tureby;..;..;..;
Ejerlejlighed;4683 Rønnede;..;..;..;
Ejerlejlighed;4684 Holmegaard;..;..;..;
Ejerlejlighed;4690 Haslev;..;..;..;
Ejerlejlighed;4700 Næstved;12139;13962;14396;
Ejerlejlighed;4720 Præstø;9881;..;..;
Ejerlejlighed;4733 Tappernøje;..;..;..;
Ejerlejlighed;4735 Mern;..;..;..;
Ejerlejlighed;4736 Karrebæksminde;..;..;..;
Ejerlejlighed;4750 Lundby;..;..;..;
Ejerlejlighed;4760 Vordingborg;11530;13456;14885;
Ejerlejlighed;4771 Kalvehave;..;..;..;
Ejerlejlighed;4772 Langebæk;..;..;..;
Ejerlejlighed;4773 Stensved;..;..;..;
Ejerlejlighed;4780 Stege;..;..;..;
Ejerlejlighed;4791 Borre;..;..;..;
Ejerlejlighed;4792 Askeby;..;..;..;
Ejerlejlighed;4793 Bogø By;..;..;..;
Ejerlejlighed;4800 Nykøbing F;11597;10432;12601;
Ejerlejlighed;4840 Nørre Alslev;..;..;..;
Ejerlejlighed;4850 Stubbekøbing;..;..;..;
Ejerlejlighed;4862 Guldborg;..;..;..;
Ejerlejlighed;4863 Eskilstrup;..;..;..;
Ejerlejlighed;4871 Horbelev;..;..;..;
Ejerlejlighed;4872 Idestrup;..;..;..;
Ejerlejlighed;4873 Væggerløse;..;..;..;
Ejerlejlighed;4874 Gedser;..;..;..;
Ejerlejlighed;4880 Nysted;..;..;..;
Ejerlejlighed;4891 Toreby L;..;..;..;
Ejerlejlighed;4892 Kettinge;..;..;..;
Ejerlejlighed;4894 Øster Ulslev;..;..;..;
Ejerlejlighed;4895 Errindlev;..;..;..;
Ejerlejlighed;4900 Nakskov;..;..;..;
Ejerlejlighed;4912 Harpelunde;..;..;..;
Ejerlejlighed;4913 Horslunde;..;..;..;
Ejerlejlighed;4920 Søllested;..;..;..;
Ejerlejlighed;4930 Maribo;..;..;..;
Ejerlejlighed;4941 Bandholm;..;..;..;
Ejerlejlighed;4943 Torrig L;..;..;..;
Ejerlejlighed;4944 Fejø;..;..;..;
Ejerlejlighed;4951 Nørreballe;..;..;..;
Ejerlejlighed;4952 Stokkemarke;..;..;..;
Ejerlejlighed;4953 Vesterborg;..;..;..;
Ejerlejlighed;4960 Holeby;..;..;..;
Ejerlejlighed;4970 Rødby;..;..;..;
Ejerlejlighed;4983 Dannemare;..;..;..;
Ejerlejlighed;4990 Sakskøbing;..;..;..;
Ejerlejlighed;5000 Odense C;14995;17073;16472;
Ejerlejlighed;5200 Odense V;..;..;..;
Ejerlejlighed;5210 Odense NV;..;..;12335;
Ejerlejlighed;5220 Odense SØ;..;..;..;
Ejerlejlighed;5230 Odense M;14167;18642;16013;
Ejerlejlighed;5240 Odense NØ;..;..;..;
Ejerlejlighed;5250 Odense SV;9549;12077;13683;
Ejerlejlighed;5260 Odense S;..;..;..;
Ejerlejlighed;5270 Odense N;..;..;..;
Ejerlejlighed;5290 Marslev;..;..;..;
Ejerlejlighed;5300 Kerteminde;..;..;..;
Ejerlejlighed;5320 Agedrup;..;..;..;
Ejerlejlighed;5330 Munkebo;..;..;..;
Ejerlejlighed;5350 Rynkeby;..;..;..;
Ejerlejlighed;5370 Mesinge;..;..;..;
Ejerlejlighed;5380 Dalby;..;..;..;
Ejerlejlighed;5390 Martofte;..;..;..;
Ejerlejlighed;5400 Bogense;..;..;..;
Ejerlejlighed;5450 Otterup;..;..;..;
Ejerlejlighed;5462 Morud;..;..;..;
Ejerlejlighed;5463 Harndrup;..;..;..;
Ejerlejlighed;5464 Brenderup Fyn;..;..;..;
Ejerlejlighed;5466 Asperup;..;..;..;
Ejerlejlighed;5471 Søndersø;..;..;..;
Ejerlejlighed;5474 Veflinge;..;..;..;
Ejerlejlighed;5485 Skamby;..;..;..;
Ejerlejlighed;5491 Blommenslyst;..;..;..;
Ejerlejlighed;5492 Vissenbjerg;..;..;..;
Ejerlejlighed;5500 Middelfart;..;..;..;
Ejerlejlighed;5540 Ullerslev;..;..;..;
Ejerlejlighed;5550 Langeskov;..;..;..;
Ejerlejlighed;5560 Aarup;..;..;..;
Ejerlejlighed;5580 Nørre Aaby;..;..;..;
Ejerlejlighed;5591 Gelsted;..;..;..;
Ejerlejlighed;5592 Ejby;..;..;..;
Ejerlejlighed;5600 Faaborg;..;..;..;
Ejerlejlighed;5610 Assens;..;..;15648;
Ejerlejlighed;5620 Glamsbjerg;..;..;..;
Ejerlejlighed;5631 Ebberup;..;..;..;
Ejerlejlighed;5642 Millinge;..;..;..;
Ejerlejlighed;5672 Broby;..;..;..;
Ejerlejlighed;5683 Haarby;..;..;..;
Ejerlejlighed;5690 Tommerup;..;..;..;
Ejerlejlighed;5700 Svendborg;12921;13763;15803;
Ejerlejlighed;5750 Ringe;..;..;..;
Ejerlejlighed;5762 Vester Skerninge;..;..;..;
Ejerlejlighed;5771 Stenstrup;..;..;..;
Ejerlejlighed;5772 Kværndrup;..;..;..;
Ejerlejlighed;5792 Årslev;..;..;..;
Ejerlejlighed;5800 Nyborg;9705;14688;..;
Ejerlejlighed;5853 Ørbæk;..;..;..;
Ejerlejlighed;5854 Gislev;..;..;..;
Ejerlejlighed;5856 Ryslinge;..;..;..;
Ejerlejlighed;5863 Ferritslev Fyn;..;..;..;
Ejerlejlighed;5871 Frørup;..;..;..;
Ejerlejlighed;5874 Hesselager;..;..;..;
Ejerlejlighed;5881 Skårup Fyn;..;..;..;
Ejerlejlighed;5882 Vejstrup;..;..;..;
Ejerlejlighed;5883 Oure;..;..;..;
Ejerlejlighed;5884 Gudme;..;..;..;
Ejerlejlighed;5892 Gudbjerg Sydfyn;..;..;..;
Ejerlejlighed;5900 Rudkøbing;..;..;..;
Ejerlejlighed;5932 Humble;..;..;..;
Ejerlejlighed;5935 Bagenkop;..;..;..;
Ejerlejlighed;5953 Tranekær;..;..;..;
Ejerlejlighed;5960 Marstal;..;..;..;
Ejerlejlighed;5970 Ærøskøbing;..;..;..;
Ejerlejlighed;5985 Søby Ærø;..;..;..;
Ejerlejlighed;6000 Kolding;12019;15390;16580;
Ejerlejlighed;6040 Egtved;..;..;..;
Ejerlejlighed;6051 Almind;..;..;..;
Ejerlejlighed;6052 Viuf;..;..;..;
Ejerlejlighed;6064 Jordrup;..;..;..;
Ejerlejlighed;6070 Christiansfeld;..;..;..;
Ejerlejlighed;6091 Bjert;..;..;..;
Ejerlejlighed;6092 Sønder Stenderup;..;..;..;
Ejerlejlighed;6093 Sjølund;..;..;..;
Ejerlejlighed;6094 Hejls;..;..;..;
Ejerlejlighed;6100 Haderslev;11166;10939;14135;
Ejerlejlighed;6200 Aabenraa;9786;11324;..;
Ejerlejlighed;6230 Rødekro;..;..;..;
Ejerlejlighed;6240 Løgumkloster;..;..;..;
Ejerlejlighed;6261 Bredebro;..;..;..;
Ejerlejlighed;6270 Tønder;..;..;..;
Ejerlejlighed;6280 Højer;..;..;..;
Ejerlejlighed;6300 Gråsten;..;..;..;
Ejerlejlighed;6310 Broager;..;..;..;
Ejerlejlighed;6320 Egernsund;..;..;..;
Ejerlejlighed;6330 Padborg;..;..;..;
Ejerlejlighed;6340 Kruså;..;..;..;
Ejerlejlighed;6360 Tinglev;..;..;..;
Ejerlejlighed;6372 Bylderup-Bov;..;..;..;
Ejerlejlighed;6392 Bolderslev;..;..;..;
Ejerlejlighed;6400 Sønderborg;9763;12444;..;
Ejerlejlighed;6430 Nordborg;..;..;..;
Ejerlejlighed;6440 Augustenborg;..;..;..;
Ejerlejlighed;6470 Sydals;..;..;..;
Ejerlejlighed;6500 Vojens;..;..;..;
Ejerlejlighed;6510 Gram;..;..;..;
Ejerlejlighed;6520 Toftlund;..;..;..;
Ejerlejlighed;6534 Agerskov;..;..;..;
Ejerlejlighed;6535 Branderup J;..;..;..;
Ejerlejlighed;6541 Bevtoft;..;..;..;
Ejerlejlighed;6560 Sommersted;..;..;..;
Ejerlejlighed;6580 Vamdrup;..;..;..;
Ejerlejlighed;6600 Vejen;..;..;9113;
Ejerlejlighed;6621 Gesten;..;..;..;
Ejerlejlighed;6622 Bække;..;..;..;
Ejerlejlighed;6623 Vorbasse;..;..;..;
Ejerlejlighed;6630 Rødding;..;..;..;
Ejerlejlighed;6640 Lunderskov;..;..;..;
Ejerlejlighed;6650 Brørup;..;..;..;
Ejerlejlighed;6660 Lintrup;..;..;..;
Ejerlejlighed;6670 Holsted;..;..;..;
Ejerlejlighed;6682 Hovborg;..;..;..;
Ejerlejlighed;6683 Føvling;..;..;..;
Ejerlejlighed;6690 Gørding;..;..;..;
Ejerlejlighed;6700 Esbjerg;10807;12769;12823;
Ejerlejlighed;6705 Esbjerg Ø;..;..;..;
Ejerlejlighed;6710 Esbjerg V;..;..;..;
Ejerlejlighed;6715 Esbjerg N;..;..;..;
Ejerlejlighed;6720 Fanø;..;..;..;
Ejerlejlighed;6731 Tjæreborg;..;..;..;
Ejerlejlighed;6740 Bramming;..;..;..;
Ejerlejlighed;6752 Glejbjerg;..;..;..;
Ejerlejlighed;6753 Agerbæk;..;..;..;
Ejerlejlighed;6760 Ribe;..;..;..;
Ejerlejlighed;6771 Gredstedbro;..;..;..;
Ejerlejlighed;6780 Skærbæk;..;..;..;
Ejerlejlighed;6792 Rømø;..;..;..;
Ejerlejlighed;6800 Varde;8843;..;11632;
Ejerlejlighed;6818 Årre;..;..;..;
Ejerlejlighed;6823 Ansager;..;..;..;
Ejerlejlighed;6830 Nørre Nebel;..;..;..;
Ejerlejlighed;6840 Oksbøl;..;..;..;
Ejerlejlighed;6851 Janderup Vestj;..;..;..;
Ejerlejlighed;6852 Billum;..;..;..;
