type;area;Q4_05;Q4_06;Q4_07;;
Parcel-/rækkehus;8541 Skødstrup;11;8;10;;
Parcel-/rækkehus;8543 Hornslet;15;5;19;;
Parcel-/rækkehus;8544 Mørke;7;3;7;;
Parcel-/rækkehus;8550 Ryomgård;5;10;14;;
Parcel-/rækkehus;8560 Kolind;13;10;7;;
Parcel-/rækkehus;8570 Trustrup;7;7;3;;
Parcel-/rækkehus;8581 Nimtofte;8;2;5;;
Parcel-/rækkehus;8585 Glesborg;11;7;9;;
Parcel-/rækkehus;8586 Ørum Djurs;5;4;8;;
Parcel-/rækkehus;8592 Anholt;..;..;..;;
Parcel-/rækkehus;8600 Silkeborg;84;73;82;;
Parcel-/rækkehus;8620 Kjellerup;22;14;20;;
Parcel-/rækkehus;8632 Lemming;0;3;4;;
Parcel-/rækkehus;8641 Sorring;2;2;0;;
Parcel-/rækkehus;8643 Ans By;7;2;4;;
Parcel-/rækkehus;8653 Them;9;5;5;;
Parcel-/rækkehus;8654 Bryrup;6;4;6;;
Parcel-/rækkehus;8660 Skanderborg;47;23;38;;
Parcel-/rækkehus;8670 Låsby;6;3;4;;
Parcel-/rækkehus;8680 Ry;14;13;13;;
Parcel-/rækkehus;8700 Horsens;134;83;123;;
Parcel-/rækkehus;8721 Daugård;2;4;6;;
Parcel-/rækkehus;8722 Hedensted;22;11;22;;
Parcel-/rækkehus;8723 Løsning;16;15;17;;
Parcel-/rækkehus;8732 Hovedgård;10;5;11;;
Parcel-/rækkehus;8740 Brædstrup;24;20;23;;
Parcel-/rækkehus;8751 Gedved;11;4;8;;
Parcel-/rækkehus;8752 Østbirk;15;11;4;;
Parcel-/rækkehus;8762 Flemming;4;3;2;;
Parcel-/rækkehus;8763 Rask Mølle;9;5;4;;
Parcel-/rækkehus;8765 Klovborg;2;0;3;;
Parcel-/rækkehus;8766 Nørre Snede;6;6;5;;
Parcel-/rækkehus;8781 Stenderup;1;4;3;;
Parcel-/rækkehus;8783 Hornsyld;3;8;8;;
Parcel-/rækkehus;8800 Viborg;74;61;73;;
Parcel-/rækkehus;8830 Tjele;23;15;23;;
Parcel-/rækkehus;8831 Løgstrup;9;3;9;;
Parcel-/rækkehus;8832 Skals;6;7;2;;
Parcel-/rækkehus;8840 Rødkærsbro;12;7;8;;
Parcel-/rækkehus;8850 Bjerringbro;28;26;36;;
Parcel-/rækkehus;8860 Ulstrup;21;16;19;;
Parcel-/rækkehus;8870 Langå;26;9;14;;
Parcel-/rækkehus;8881 Thorsø;10;4;8;;
Parcel-/rækkehus;8882 Fårvang;4;4;3;;
Parcel-/rækkehus;8883 Gjern;3;3;5;;
Parcel-/rækkehus;8900 Randers C;6;6;1;;
Parcel-/rækkehus;8920 Randers NV;51;32;52;;
Parcel-/rækkehus;8930 Randers NØ;35;22;22;;
Parcel-/rækkehus;8940 Randers SV;21;22;17;;
Parcel-/rækkehus;8950 Ørsted;11;8;12;;
Parcel-/rækkehus;8960 Randers SØ;42;32;27;;
Parcel-/rækkehus;8961 Allingåbro;10;4;13;;
Parcel-/rækkehus;8963 Auning;12;7;7;;
Parcel-/rækkehus;8970 Havndal;12;6;3;;
Parcel-/rækkehus;8981 Spentrup;14;14;11;;
Parcel-/rækkehus;8983 Gjerlev J;7;7;10;;
Parcel-/rækkehus;8990 Fårup;12;7;4;;
Parcel-/rækkehus;9000 Aalborg;45;47;78;;
Parcel-/rækkehus;9200 Aalborg SV;27;14;18;;
Parcel-/rækkehus;9210 Aalborg SØ;13;20;26;;
Parcel-/rækkehus;9220 Aalborg Øst;19;10;9;;
Parcel-/rækkehus;9230 Svenstrup J;16;14;26;;
Parcel-/rækkehus;9240 Nibe;17;12;25;;
Parcel-/rækkehus;9260 Gistrup;12;7;8;;
Parcel-/rækkehus;9270 Klarup;9;10;11;;
Parcel-/rækkehus;9280 Storvorde;18;11;16;;
Parcel-/rækkehus;9293 Kongerslev;6;2;9;;
Parcel-/rækkehus;9300 Sæby;23;28;29;;
Parcel-/rækkehus;9310 Vodskov;35;19;20;;
Parcel-/rækkehus;9320 Hjallerup;10;10;16;;
Parcel-/rækkehus;9330 Dronninglund;18;20;15;;
Parcel-/rækkehus;9340 Asaa;4;2;8;;
Parcel-/rækkehus;9352 Dybvad;1;1;1;;
Parcel-/rækkehus;9362 Gandrup;11;2;6;;
Parcel-/rækkehus;9370 Hals;17;12;13;;
Parcel-/rækkehus;9380 Vestbjerg;9;5;3;;
Parcel-/rækkehus;9381 Sulsted;4;4;7;;
Parcel-/rækkehus;9382 Tylstrup;8;7;9;;
Parcel-/rækkehus;9400 Nørresundby;25;24;24;;
Parcel-/rækkehus;9430 Vadum;9;4;11;;
Parcel-/rækkehus;9440 Aabybro;28;15;26;;
Parcel-/rækkehus;9460 Brovst;21;16;15;;
Parcel-/rækkehus;9480 Løkken;14;11;17;;
Parcel-/rækkehus;9490 Pandrup;16;18;15;;
Parcel-/rækkehus;9492 Blokhus;8;7;5;;
Parcel-/rækkehus;9493 Saltum;0;0;3;;
Parcel-/rækkehus;9500 Hobro;28;40;32;;
Parcel-/rækkehus;9510 Arden;8;4;15;;
Parcel-/rækkehus;9520 Skørping;16;11;13;;
Parcel-/rækkehus;9530 Støvring;20;13;24;;
Parcel-/rækkehus;9541 Suldrup;9;5;7;;
Parcel-/rækkehus;9550 Mariager;22;5;7;;
Parcel-/rækkehus;9560 Hadsund;22;17;27;;
Parcel-/rækkehus;9574 Bælum;1;1;5;;
Parcel-/rækkehus;9575 Terndrup;4;0;2;;
Parcel-/rækkehus;9600 Aars;15;20;31;;
Parcel-/rækkehus;9610 Nørager;6;8;5;;
Parcel-/rækkehus;9620 Aalestrup;11;8;12;;
Parcel-/rækkehus;9631 Gedsted;1;0;3;;
Parcel-/rækkehus;9632 Møldrup;1;2;4;;
Parcel-/rækkehus;9640 Farsø;12;23;18;;
Parcel-/rækkehus;9670 Løgstør;18;15;14;;
Parcel-/rækkehus;9681 Ranum;7;5;4;;
Parcel-/rækkehus;9690 Fjerritslev;22;20;8;;
Parcel-/rækkehus;9700 Brønderslev;38;45;46;;
Parcel-/rækkehus;9740 Jerslev J;11;7;10;;
Parcel-/rækkehus;9750 Østervrå;5;6;7;;
Parcel-/rækkehus;9760 Vrå;16;10;20;;
Parcel-/rækkehus;9800 Hjørring;65;69;76;;
Parcel-/rækkehus;9830 Tårs;10;5;9;;
Parcel-/rækkehus;9850 Hirtshals;19;19;17;;
Parcel-/rækkehus;9870 Sindal;21;9;14;;
Parcel-/rækkehus;9881 Bindslev;5;1;8;;
Parcel-/rækkehus;9900 Frederikshavn;58;42;64;;
Parcel-/rækkehus;9940 Læsø;6;11;4;;
Parcel-/rækkehus;9970 Strandby;4;3;6;;
Parcel-/rækkehus;9981 Jerup;4;1;1;;
Parcel-/rækkehus;9982 Ålbæk;2;4;2;;
Parcel-/rækkehus;9990 Skagen;13;10;15;;
Ejerlejlighed;1000-1499 Kbh.K.;96;61;94;;
Ejerlejlighed;1500-1799 Kbh.V.;86;44;62;;
Ejerlejlighed;1800-1999 Frederiksberg C;78;43;67;;
Ejerlejlighed;2000 Frederiksberg;122;88;135;;
Ejerlejlighed;2100 København Ø;186;99;152;;
Ejerlejlighed;2150 Nordhavn;..;..;..;;
Ejerlejlighed;2200 København N;105;46;96;;
Ejerlejlighed;2300 København S;195;153;252;;
Ejerlejlighed;2400 København NV;74;56;55;;
Ejerlejlighed;2450 København SV;42;19;52;;
Ejerlejlighed;2500 Valby;68;60;87;;
Ejerlejlighed;2600 Glostrup;19;14;17;;
Ejerlejlighed;2605 Brøndby;4;8;1;;
Ejerlejlighed;2610 Rødovre;58;31;26;;
Ejerlejlighed;2620 Albertslund;7;7;7;;
Ejerlejlighed;2625 Vallensbæk;2;1;4;;
Ejerlejlighed;2630 Taastrup;63;49;34;;
Ejerlejlighed;2635 Ishøj;35;8;11;;
Ejerlejlighed;2640 Hedehusene;7;4;11;;
Ejerlejlighed;2650 Hvidovre;37;18;27;;
Ejerlejlighed;2660 Brøndby Strand;0;0;2;;
Ejerlejlighed;2665 Vallensbæk Strand;22;10;11;;
Ejerlejlighed;2670 Greve;19;9;9;;
Ejerlejlighed;2680 Solrød Strand;18;2;4;;
Ejerlejlighed;2690 Karlslunde;0;1;1;;
Ejerlejlighed;2700 Brønshøj;46;23;37;;
Ejerlejlighed;2720 Vanløse;67;45;62;;
Ejerlejlighed;2730 Herlev;8;5;10;;
Ejerlejlighed;2740 Skovlunde;1;2;1;;
Ejerlejlighed;2750 Ballerup;7;5;2;;
Ejerlejlighed;2760 Måløv;3;8;11;;
Ejerlejlighed;2765 Smørum;4;5;5;;
Ejerlejlighed;2770 Kastrup;23;13;31;;
Ejerlejlighed;2791 Dragør;0;2;2;;
Ejerlejlighed;2800 Kgs.Lyngby;51;31;38;;
Ejerlejlighed;2820 Gentofte;43;25;18;;
Ejerlejlighed;2830 Virum;17;8;9;;
Ejerlejlighed;2840 Holte;18;9;13;;
Ejerlejlighed;2850 Nærum;5;4;4;;
Ejerlejlighed;2860 Søborg;44;33;26;;
Ejerlejlighed;2870 Dyssegård;8;14;16;;
Ejerlejlighed;2880 Bagsværd;16;8;8;;
Ejerlejlighed;2900 Hellerup;48;24;38;;
Ejerlejlighed;2920 Charlottenlund;67;30;29;;
Ejerlejlighed;2930 Klampenborg;7;6;3;;
Ejerlejlighed;2942 Skodsborg;5;6;6;;
Ejerlejlighed;2950 Vedbæk;5;0;1;;
Ejerlejlighed;2960 Rungsted Kyst;3;3;2;;
Ejerlejlighed;2970 Hørsholm;18;13;13;;
Ejerlejlighed;2980 Kokkedal;16;6;5;;
Ejerlejlighed;2990 Nivå;3;0;1;;
Ejerlejlighed;3000 Helsingør;58;39;36;;
Ejerlejlighed;3050 Humlebæk;15;6;15;;
Ejerlejlighed;3060 Espergærde;10;12;13;;
Ejerlejlighed;3070 Snekkersten;3;2;1;;
Ejerlejlighed;3080 Tikøb;0;..;..;;
Ejerlejlighed;3100 Hornbæk;2;2;1;;
Ejerlejlighed;3120 Dronningmølle;1;..;..;;
Ejerlejlighed;3140 Ålsgårde;1;1;0;;
Ejerlejlighed;3150 Hellebæk;..;..;1;;
Ejerlejlighed;3200 Helsinge;8;4;2;;
Ejerlejlighed;3210 Vejby;2;1;2;;
Ejerlejlighed;3220 Tisvildeleje;2;2;0;;
Ejerlejlighed;3230 Græsted;1;3;1;;
Ejerlejlighed;3250 Gilleleje;0;1;1;;
Ejerlejlighed;3300 Frederiksværk;8;6;5;;
Ejerlejlighed;3310 Ølsted;..;..;..;;
Ejerlejlighed;3320 Skævinge;0;1;0;;
Ejerlejlighed;3330 Gørløse;..;..;..;;
Ejerlejlighed;3360 Liseleje;2;1;0;;
Ejerlejlighed;3370 Melby;..;..;..;;
Ejerlejlighed;3390 Hundested;0;0;0;;
Ejerlejlighed;3400 Hillerød;31;24;29;;
Ejerlejlighed;3450 Allerød;7;0;11;;
Ejerlejlighed;3460 Birkerød;31;17;23;;
Ejerlejlighed;3480 Fredensborg;3;5;5;;
Ejerlejlighed;3490 Kvistgård;..;0;0;;
Ejerlejlighed;3500 Værløse;7;5;5;;
Ejerlejlighed;3520 Farum;9;9;13;;
Ejerlejlighed;3540 Lynge;2;1;1;;
Ejerlejlighed;3550 Slangerup;3;2;0;;
Ejerlejlighed;3600 Frederikssund;5;3;3;;
Ejerlejlighed;3630 Jægerspris;..;..;3;;
Ejerlejlighed;3650 Ølstykke;6;4;4;;
Ejerlejlighed;3660 Stenløse;4;0;1;;
Ejerlejlighed;3670 Veksø Sjælland;..;0;..;;
Ejerlejlighed;3700 Rønne;2;4;2;;
Ejerlejlighed;3720 Aakirkeby;..;..;..;;
Ejerlejlighed;3730 Nexø;4;0;2;;
Ejerlejlighed;3740 Svaneke;..;0;0;;
Ejerlejlighed;3751 Østermarie;..;..;..;;
Ejerlejlighed;3760 Gudhjem;..;3;1;;
Ejerlejlighed;3770 Allinge;0;..;3;;
Ejerlejlighed;3782 Klemensker;..;..;..;;
Ejerlejlighed;3790 Hasle;..;1;1;;
Ejerlejlighed;4000 Roskilde;69;31;53;;
Ejerlejlighed;4030 Tune;..;1;..;;
Ejerlejlighed;4040 Jyllinge;..;..;0;;
Ejerlejlighed;4050 Skibby;1;0;1;;
Ejerlejlighed;4060 Kirke Såby;..;0;..;;
Ejerlejlighed;4070 Kirke Hyllinge;..;0;0;;
Ejerlejlighed;4100 Ringsted;9;12;14;;
Ejerlejlighed;4130 Viby Sjælland;..;2;1;;
Ejerlejlighed;4140 Borup;2;1;1;;
Ejerlejlighed;4160 Herlufmagle;..;..;2;;
Ejerlejlighed;4171 Glumsø;1;..;1;;
Ejerlejlighed;4173 Fjenneslev;..;..;..;;
Ejerlejlighed;4174 Jystrup Midtsj;0;..;0;;
Ejerlejlighed;4180 Sorø;6;4;2;;
Ejerlejlighed;4190 Munke Bjergby;..;..;..;;
Ejerlejlighed;4200 Slagelse;29;12;11;;
Ejerlejlighed;4220 Korsør;17;9;10;;
Ejerlejlighed;4230 Skælskør;0;0;2;;
Ejerlejlighed;4241 Vemmelev;..;..;..;;
Ejerlejlighed;4242 Boeslunde;..;1;..;;
Ejerlejlighed;4243 Rude;..;..;..;;
Ejerlejlighed;4250 Fuglebjerg;..;0;..;;
Ejerlejlighed;4261 Dalmose;0;..;0;;
Ejerlejlighed;4262 Sandved;..;..;..;;
Ejerlejlighed;4270 Høng;1;0;1;;
Ejerlejlighed;4281 Gørlev;1;0;..;;
Ejerlejlighed;4291 Ruds Vedby;..;0;0;;
Ejerlejlighed;4293 Dianalund;..;0;0;;
Ejerlejlighed;4295 Stenlille;0;..;0;;
Ejerlejlighed;4296 Nyrup;..;..;..;;
Ejerlejlighed;4300 Holbæk;9;15;13;;
Ejerlejlighed;4320 Lejre;..;0;..;;
Ejerlejlighed;4330 Hvalsø;..;0;0;;
Ejerlejlighed;4340 Tølløse;0;2;0;;
Ejerlejlighed;4350 Ugerløse;..;..;..;;
Ejerlejlighed;4360 Kirke Eskilstrup;..;..;..;;
Ejerlejlighed;4370 Store Merløse;..;..;1;;
Ejerlejlighed;4390 Vipperød;2;0;0;;
Ejerlejlighed;4400 Kalundborg;2;8;10;;
Ejerlejlighed;4420 Regstrup;..;..;..;;
Ejerlejlighed;4440 Mørkøv;..;0;0;;
Ejerlejlighed;4450 Jyderup;0;1;2;;
Ejerlejlighed;4460 Snertinge;..;..;..;;
Ejerlejlighed;4470 Svebølle;0;..;..;;
Ejerlejlighed;4480 Store Fuglede;..;..;..;;
Ejerlejlighed;4490 Jerslev Sjælland;..;..;..;;
Ejerlejlighed;4500 Nykøbing Sj;11;5;5;;
Ejerlejlighed;4520 Svinninge;2;1;2;;
Ejerlejlighed;4532 Gislinge;..;..;1;;
Ejerlejlighed;4534 Hørve;1;..;0;;
Ejerlejlighed;4540 Fårevejle;0;0;0;;
Ejerlejlighed;4550 Asnæs;0;..;0;;
Ejerlejlighed;4560 Vig;0;3;1;;
Ejerlejlighed;4571 Grevinge;..;..;..;;
Ejerlejlighed;4572 Nørre Asmindrup;..;..;..;;
Ejerlejlighed;4573 Højby;..;..;0;;
Ejerlejlighed;4581 Rørvig;..;0;0;;
Ejerlejlighed;4583 Sjællands Odde;..;..;..;;
Ejerlejlighed;4591 Føllenslev;0;0;0;;
Ejerlejlighed;4592 Sejerø;..;..;..;;
Ejerlejlighed;4593 Eskebjerg;0;..;..;;
Ejerlejlighed;4600 Køge;17;9;22;;
Ejerlejlighed;4621 Gadstrup;3;1;0;;
Ejerlejlighed;4622 Havdrup;1;0;1;;
Ejerlejlighed;4623 Lille Skensved;..;0;0;;
Ejerlejlighed;4632 Bjæverskov;2;0;0;;
Ejerlejlighed;4640 Faxe;0;0;..;;
Ejerlejlighed;4652 Hårlev;1;0;1;;
Ejerlejlighed;4653 Karise;..;..;0;;
Ejerlejlighed;4654 Faxe Ladeplads;..;0;4;;
Ejerlejlighed;4660 Store Heddinge;1;1;1;;
Ejerlejlighed;4671 Strøby;0;1;0;;
Ejerlejlighed;4672 Klippinge;..;..;..;;
Ejerlejlighed;4673 Rødvig Stevns;0;0;0;;
Ejerlejlighed;4681 Herfølge;4;3;6;;
Ejerlejlighed;4682 Tureby;..;..;0;;
Ejerlejlighed;4683 Rønnede;..;..;..;;
Ejerlejlighed;4684 Holmegaard;1;..;..;;
Ejerlejlighed;4690 Haslev;2;2;2;;
Ejerlejlighed;4700 Næstved;68;47;36;;
Ejerlejlighed;4720 Præstø;6;3;4;;
Ejerlejlighed;4733 Tappernøje;0;0;0;;
Ejerlejlighed;4735 Mern;..;..;..;;
Ejerlejlighed;4736 Karrebæksminde;..;..;..;;
Ejerlejlighed;4750 Lundby;1;..;0;;
Ejerlejlighed;4760 Vordingborg;9;7;11;;
Ejerlejlighed;4771 Kalvehave;..;..;..;;
Ejerlejlighed;4772 Langebæk;..;..;..;;
Ejerlejlighed;4773 Stensved;..;..;..;;
Ejerlejlighed;4780 Stege;4;0;1;;
Ejerlejlighed;4791 Borre;..;0;1;;
Ejerlejlighed;4792 Askeby;..;..;..;;
Ejerlejlighed;4793 Bogø By;..;..;..;;
Ejerlejlighed;4800 Nykøbing F;9;6;11;;
Ejerlejlighed;4840 Nørre Alslev;..;0;..;;
Ejerlejlighed;4850 Stubbekøbing;0;0;0;;
Ejerlejlighed;4862 Guldborg;..;..;..;;
Ejerlejlighed;4863 Eskilstrup;..;..;..;;
Ejerlejlighed;4871 Horbelev;..;..;..;;
Ejerlejlighed;4872 Idestrup;..;..;..;;
Ejerlejlighed;4873 Væggerløse;1;0;0;;
Ejerlejlighed;4874 Gedser;..;0;1;;
Ejerlejlighed;4880 Nysted;..;..;..;;
Ejerlejlighed;4891 Toreby L;..;..;..;;
Ejerlejlighed;4892 Kettinge;..;..;..;;
Ejerlejlighed;4894 Øster Ulslev;..;..;..;;
Ejerlejlighed;4895 Errindlev;..;..;..;;
Ejerlejlighed;4900 Nakskov;2;1;4;;
Ejerlejlighed;4912 Harpelunde;..;..;..;;
Ejerlejlighed;4913 Horslunde;..;..;..;;
Ejerlejlighed;4920 Søllested;..;..;..;;
Ejerlejlighed;4930 Maribo;2;..;4;;
Ejerlejlighed;4941 Bandholm;..;..;..;;
Ejerlejlighed;4943 Torrig L;..;..;..;;
Ejerlejlighed;4944 Fejø;..;..;..;;
Ejerlejlighed;4951 Nørreballe;..;..;..;;
Ejerlejlighed;4952 Stokkemarke;..;..;..;;
Ejerlejlighed;4953 Vesterborg;..;..;..;;
Ejerlejlighed;4960 Holeby;..;..;..;;
Ejerlejlighed;4970 Rødby;0;0;0;;
Ejerlejlighed;4983 Dannemare;..;0;0;;
Ejerlejlighed;4990 Sakskøbing;..;0;1;;
Ejerlejlighed;5000 Odense C;54;54;74;;
Ejerlejlighed;5200 Odense V;3;4;4;;
Ejerlejlighed;5210 Odense NV;4;3;5;;
Ejerlejlighed;5220 Odense SØ;0;0;0;;
Ejerlejlighed;5230 Odense M;6;5;8;;
Ejerlejlighed;5240 Odense NØ;..;..;0;;
Ejerlejlighed;5250 Odense SV;15;8;7;;
Ejerlejlighed;5260 Odense S;2;2;0;;
Ejerlejlighed;5270 Odense N;2;4;4;;
Ejerlejlighed;5290 Marslev;..;..;..;;
Ejerlejlighed;5300 Kerteminde;0;1;1;;
Ejerlejlighed;5320 Agedrup;..;..;..;;
Ejerlejlighed;5330 Munkebo;..;..;..;;
Ejerlejlighed;5350 Rynkeby;..;..;..;;
Ejerlejlighed;5370 Mesinge;..;..;..;;
Ejerlejlighed;5380 Dalby;..;..;..;;
Ejerlejlighed;5390 Martofte;..;..;..;;
Ejerlejlighed;5400 Bogense;0;0;1;;
Ejerlejlighed;5450 Otterup;..;..;0;;
Ejerlejlighed;5462 Morud;1;..;..;;
Ejerlejlighed;5463 Harndrup;..;..;..;;
Ejerlejlighed;5464 Brenderup Fyn;..;..;1;;
Ejerlejlighed;5466 Asperup;..;..;..;;
Ejerlejlighed;5471 Søndersø;..;..;..;;
Ejerlejlighed;5474 Veflinge;..;..;..;;
Ejerlejlighed;5485 Skamby;..;..;..;;
Ejerlejlighed;5491 Blommenslyst;..;..;..;;
Ejerlejlighed;5492 Vissenbjerg;..;..;..;;
Ejerlejlighed;5500 Middelfart;3;0;3;;
Ejerlejlighed;5540 Ullerslev;..;..;0;;
Ejerlejlighed;5550 Langeskov;..;..;..;;
Ejerlejlighed;5560 Aarup;..;0;0;;
Ejerlejlighed;5580 Nørre Aaby;..;0;..;;
Ejerlejlighed;5591 Gelsted;..;..;..;;
Ejerlejlighed;5592 Ejby;..;..;..;;
Ejerlejlighed;5600 Faaborg;2;2;0;;
Ejerlejlighed;5610 Assens;1;1;5;;
Ejerlejlighed;5620 Glamsbjerg;0;..;..;;
Ejerlejlighed;5631 Ebberup;..;..;..;;
Ejerlejlighed;5642 Millinge;0;..;..;;
Ejerlejlighed;5672 Broby;..;..;..;;
Ejerlejlighed;5683 Haarby;..;..;..;;
Ejerlejlighed;5690 Tommerup;3;1;1;;
Ejerlejlighed;5700 Svendborg;11;10;13;;
Ejerlejlighed;5750 Ringe;0;0;1;;
Ejerlejlighed;5762 Vester Skerninge;..;..;..;;
Ejerlejlighed;5771 Stenstrup;..;..;..;;
Ejerlejlighed;5772 Kværndrup;..;0;..;;
Ejerlejlighed;5792 Årslev;..;1;..;;
Ejerlejlighed;5800 Nyborg;7;8;1;;
Ejerlejlighed;5853 Ørbæk;..;1;0;;
Ejerlejlighed;5854 Gislev;..;..;..;;
Ejerlejlighed;5856 Ryslinge;1;1;..;;
Ejerlejlighed;5863 Ferritslev Fyn;..;..;..;;
Ejerlejlighed;5871 Frørup;..;..;..;;
Ejerlejlighed;5874 Hesselager;..;0;..;;
Ejerlejlighed;5881 Skårup Fyn;..;..;..;;
Ejerlejlighed;5882 Vejstrup;..;..;..;;
Ejerlejlighed;5883 Oure;..;..;..;;
Ejerlejlighed;5884 Gudme;0;..;..;;
Ejerlejlighed;5892 Gudbjerg Sydfyn;..;..;..;;
Ejerlejlighed;5900 Rudkøbing;2;..;4;;
Ejerlejlighed;5932 Humble;..;..;..;;
Ejerlejlighed;5935 Bagenkop;..;..;..;;
Ejerlejlighed;5953 Tranekær;2;0;2;;
Ejerlejlighed;5960 Marstal;..;..;..;;
Ejerlejlighed;5970 Ærøskøbing;..;0;0;;
Ejerlejlighed;5985 Søby Ærø;..;..;0;;
Ejerlejlighed;6000 Kolding;21;13;34;;
Ejerlejlighed;6040 Egtved;..;0;1;;
Ejerlejlighed;6051 Almind;..;..;..;;
Ejerlejlighed;6052 Viuf;..;..;..;;
Ejerlejlighed;6064 Jordrup;..;..;..;;
Ejerlejlighed;6070 Christiansfeld;..;0;2;;
Ejerlejlighed;6091 Bjert;..;..;..;;
Ejerlejlighed;6092 Sønder Stenderup;..;..;..;;
Ejerlejlighed;6093 Sjølund;..;..;..;;
Ejerlejlighed;6094 Hejls;0;0;0;;
Ejerlejlighed;6100 Haderslev;9;7;8;;
Ejerlejlighed;6200 Aabenraa;9;9;4;;
Ejerlejlighed;6230 Rødekro;1;1;1;;
Ejerlejlighed;6240 Løgumkloster;0;..;..;;
Ejerlejlighed;6261 Bredebro;..;0;..;;
Ejerlejlighed;6270 Tønder;0;2;0;;
Ejerlejlighed;6280 Højer;..;0;..;;
Ejerlejlighed;6300 Gråsten;0;1;1;;
Ejerlejlighed;6310 Broager;0;0;0;;
Ejerlejlighed;6320 Egernsund;0;0;0;;
Ejerlejlighed;6330 Padborg;..;0;1;;
Ejerlejlighed;6340 Kruså;2;2;2;;
Ejerlejlighed;6360 Tinglev;..;..;0;;
Ejerlejlighed;6372 Bylderup-Bov;..;..;..;;
Ejerlejlighed;6392 Bolderslev;..;..;..;;
Ejerlejlighed;6400 Sønderborg;10;18;4;;
Ejerlejlighed;6430 Nordborg;0;0;..;;
Ejerlejlighed;6440 Augustenborg;..;..;..;;
Ejerlejlighed;6470 Sydals;..;..;0;;
Ejerlejlighed;6500 Vojens;1;..;1;;
Ejerlejlighed;6510 Gram;..;..;..;;
Ejerlejlighed;6520 Toftlund;..;0;..;;
Ejerlejlighed;6534 Agerskov;..;..;..;;
Ejerlejlighed;6535 Branderup J;..;..;..;;
Ejerlejlighed;6541 Bevtoft;..;..;..;;
Ejerlejlighed;6560 Sommersted;..;..;..;;
Ejerlejlighed;6580 Vamdrup;2;1;3;;
Ejerlejlighed;6600 Vejen;2;2;8;;
Ejerlejlighed;6621 Gesten;..;..;..;;
Ejerlejlighed;6622 Bække;..;..;..;;
Ejerlejlighed;6623 Vorbasse;..;..;..;;
Ejerlejlighed;6630 Rødding;0;0;..;;
Ejerlejlighed;6640 Lunderskov;..;..;..;;
Ejerlejlighed;6650 Brørup;..;..;1;;
Ejerlejlighed;6660 Lintrup;..;..;..;;
Ejerlejlighed;6670 Holsted;1;..;..;;
Ejerlejlighed;6682 Hovborg;0;..;..;;
Ejerlejlighed;6683 Føvling;..;..;..;;
Ejerlejlighed;6690 Gørding;..;..;..;;
Ejerlejlighed;6700 Esbjerg;25;14;27;;
Ejerlejlighed;6705 Esbjerg Ø;1;1;2;;
Ejerlejlighed;6710 Esbjerg V;2;1;1;;
Ejerlejlighed;6715 Esbjerg N;1;0;1;;
Ejerlejlighed;6720 Fanø;3;3;1;;
Ejerlejlighed;6731 Tjæreborg;0;0;0;;
Ejerlejlighed;6740 Bramming;0;..;1;;
Ejerlejlighed;6752 Glejbjerg;..;..;..;;
Ejerlejlighed;6753 Agerbæk;..;..;..;;
Ejerlejlighed;6760 Ribe;2;0;1;;
Ejerlejlighed;6771 Gredstedbro;0;..;..;;
Ejerlejlighed;6780 Skærbæk;..;0;0;;
Ejerlejlighed;6792 Rømø;3;2;0;;
Ejerlejlighed;6800 Varde;5;2;5;;
Ejerlejlighed;6818 Årre;..;..;..;;
Ejerlejlighed;6823 Ansager;..;..;..;;
Ejerlejlighed;6830 Nørre Nebel;1;1;0;;
Ejerlejlighed;6840 Oksbøl;..;2;1;;
Ejerlejlighed;6851 Janderup Vestj;..;..;..;;
Ejerlejlighed;6852 Billum;..;..;..;;
Ejerlejlighed;6853 Vejers Strand;0;0;1;;
Ejerlejlighed;6854 Henne;0;0;2;;
Ejerlejlighed;6855 Outrup;..;..;..;;
Ejerlejlighed;6857 Blåvand;4;5;3;;
Ejerlejlighed;6862 Tistrup;0;..;..;;
Ejerlejlighed;6870 Ølgod;..;1;0;;
Ejerlejlighed;6880 Tarm;..;..;..;;
Ejerlejlighed;6893 Hemmet;..;..;..;;
Ejerlejlighed;6900 Skjern;2;0;2;;
Ejerlejlighed;6920 Videbæk;3;2;7;;
Ejerlejlighed;6933 Kibæk;4;0;1;;
Ejerlejlighed;6940 Lem St;..;..;..;;
Ejerlejlighed;6950 Ringkøbing;10;7;5;;
Ejerlejlighed;6960 Hvide Sande;1;0;0;;
Ejerlejlighed;6971 Spjald;0;0;..;;
Ejerlejlighed;6973 Ørnhøj;..;0;..;;
Ejerlejlighed;6980 Tim;..;..;..;;
Ejerlejlighed;6990 Ulfborg;..;..;..;;
Ejerlejlighed;7000 Fredericia;19;16;18;;
Ejerlejlighed;7080 Børkop;0;1;0;;
Ejerlejlighed;7100 Vejle;31;19;29;;
Ejerlejlighed;7120 Vejle Øst;0;0;2;;
Ejerlejlighed;7130 Juelsminde;1;8;4;;
Ejerlejlighed;7140 Stouby;..;..;..;;
Ejerlejlighed;7150 Barrit;..;..;..;;
Ejerlejlighed;7160 Tørring;..;..;1;;
Ejerlejlighed;7171 Uldum;..;..;..;;
Ejerlejlighed;7173 Vonge;..;..;..;;
Ejerlejlighed;7182 Bredsten;..;0;0;;
Ejerlejlighed;7183 Randbøl;..;..;..;;
Ejerlejlighed;7184 Vandel;1;..;..;;
