type;area;Q3_09;Q3_10;Q3_11
Parcel-/rækkehus;1000-1499 Kbh.K.;1;0;0
Parcel-/rækkehus;1500-1799 Kbh.V.;1;1;0
Parcel-/rækkehus;1800-1999 Frederiksberg C;2;2;2
Parcel-/rækkehus;2000 Frederiksberg;15;9;9
Parcel-/rækkehus;2100 København Ø;12;6;12
Parcel-/rækkehus;2150 Nordhavn;..;..;..
Parcel-/rækkehus;2200 København N;..;..;..
Parcel-/rækkehus;2300 København S;41;48;27
Parcel-/rækkehus;2400 København NV;7;18;7
Parcel-/rækkehus;2450 København SV;0;0;0
Parcel-/rækkehus;2500 Valby;39;35;27
Parcel-/rækkehus;2600 Glostrup;28;30;26
Parcel-/rækkehus;2605 Brøndby;26;12;17
Parcel-/rækkehus;2610 Rødovre;55;56;36
Parcel-/rækkehus;2620 Albertslund;17;12;18
Parcel-/rækkehus;2625 Vallensbæk;9;14;7
Parcel-/rækkehus;2630 Taastrup;48;37;30
Parcel-/rækkehus;2635 Ishøj;15;18;14
Parcel-/rækkehus;2640 Hedehusene;18;15;19
Parcel-/rækkehus;2650 Hvidovre;73;84;48
Parcel-/rækkehus;2660 Brøndby Strand;9;12;9
Parcel-/rækkehus;2665 Vallensbæk Strand;18;15;16
Parcel-/rækkehus;2670 Greve;60;65;54
Parcel-/rækkehus;2680 Solrød Strand;21;24;26
Parcel-/rækkehus;2690 Karlslunde;25;18;16
Parcel-/rækkehus;2700 Brønshøj;49;32;35
Parcel-/rækkehus;2720 Vanløse;27;25;16
Parcel-/rækkehus;2730 Herlev;47;37;35
Parcel-/rækkehus;2740 Skovlunde;10;18;14
Parcel-/rækkehus;2750 Ballerup;28;36;17
Parcel-/rækkehus;2760 Måløv;11;8;3
Parcel-/rækkehus;2765 Smørum;23;32;12
Parcel-/rækkehus;2770 Kastrup;52;66;57
Parcel-/rækkehus;2791 Dragør;39;48;18
Parcel-/rækkehus;2800 Kgs.Lyngby;47;67;23
Parcel-/rækkehus;2820 Gentofte;32;26;25
Parcel-/rækkehus;2830 Virum;47;55;33
Parcel-/rækkehus;2840 Holte;40;38;28
Parcel-/rækkehus;2850 Nærum;7;6;10
Parcel-/rækkehus;2860 Søborg;25;34;30
Parcel-/rækkehus;2870 Dyssegård;11;11;7
Parcel-/rækkehus;2880 Bagsværd;28;26;13
Parcel-/rækkehus;2900 Hellerup;22;27;24
Parcel-/rækkehus;2920 Charlottenlund;43;29;16
Parcel-/rækkehus;2930 Klampenborg;6;12;9
Parcel-/rækkehus;2942 Skodsborg;2;1;1
Parcel-/rækkehus;2950 Vedbæk;14;13;16
Parcel-/rækkehus;2960 Rungsted Kyst;8;16;9
Parcel-/rækkehus;2970 Hørsholm;49;38;21
Parcel-/rækkehus;2980 Kokkedal;30;17;21
Parcel-/rækkehus;2990 Nivå;7;19;9
Parcel-/rækkehus;3000 Helsingør;31;35;25
Parcel-/rækkehus;3050 Humlebæk;16;12;7
Parcel-/rækkehus;3060 Espergærde;24;28;20
