type;area;v1;v2;v3;v4;v5;v6;v7;v8;zipy
Ejerlejligheder;3220 Tisvildeleje;0;0;0;0;0;0;0;19.568001;3220_5
Fritidshuse;3220 Tisvildeleje;21.431999;20.212;22.843;21.997999;23.684999;0;0;0;3220_5
Parcel- og rækkehuse;3220 Tisvildeleje;0;0;0;0;0;0;0;0;3220_5
Ejerlejligheder;3220 Tisvildeleje;0;0;0;0;0;0;0;0;3220_7
Fritidshuse;3220 Tisvildeleje;0;31.948;34.485001;38.924;31.007;39.383999;42.502998;50.021999;3220_7
Parcel- og rækkehuse;3220 Tisvildeleje;0;0;0;0;0;0;0;0;3220_7
Ejerlejligheder;3230 Græsted;0;0;0;0;0;0;0;0;3230_11
Fritidshuse;3230 Græsted;16.487;18.716;15.472;16.274;15.185;17.017;16.764;14.301;3230_11
Parcel- og rækkehuse;3230 Græsted;12.882;11.004;13.086;12.192;13.25;13.076;10.599;11.177;3230_11
Ejerlejligheder;3230 Græsted;0;0;0;0;0;0;0;0;3230_15
Fritidshuse;3230 Græsted;12.713;15.306;15.577;13.58;12.3;14.701;15.496;15.382;3230_15
Parcel- og rækkehuse;3230 Græsted;7.4260001;10.377;10.526;8.5450001;9.0229998;10.559;10.481;9.6400003;3230_15
Ejerlejligheder;3230 Græsted;0;0;0;0;0;0;0;0;3230_5
Fritidshuse;3230 Græsted;12.756;12.792;13.486;15.405;13.841;18.767;15.411;17.969999;3230_5
Parcel- og rækkehuse;3230 Græsted;11.074;11.385;10.287;10.97;11.246;11.615;12.191;11.959;3230_5
Ejerlejligheder;3230 Græsted;0;0;0;0;0;0;0;0;3230_7
Fritidshuse;3230 Græsted;21.622;21.332001;25.561001;22.719999;24.327;20.068001;20.471001;18.118999;3230_7
Parcel- og rækkehuse;3230 Græsted;16.208;19.273001;18.639999;17.153;18.649;17.9;16.690001;16.554001;3230_7
Ejerlejligheder;3250 Gilleleje;0;0;0;0;0;0;0;0;3250_11
Fritidshuse;3250 Gilleleje;17.417;15.437;18.356001;17.047001;19.215;13.42;16.52;16.41;3250_11
Parcel- og rækkehuse;3250 Gilleleje;14.459;14.577;15.636;15.545;20.816999;15.628;16.226;15.078;3250_11
Ejerlejligheder;3250 Gilleleje;0;0;0;0;0;0;17.306999;0;3250_15
Fritidshuse;3250 Gilleleje;14.886;16.851999;17.816999;16.948999;17.726;18.973;17.281;16.931999;3250_15
Parcel- og rækkehuse;3250 Gilleleje;11.466;13.7;11.917;12.117;15.917;12.074;13.434;15.593;3250_15
Ejerlejligheder;3250 Gilleleje;14.434;0;13.231;16.688999;0;0;0;0;3250_5
Fritidshuse;3250 Gilleleje;13.6;13.773;13.866;15.411;16.959999;17.746;15.208;18.712;3250_5
Parcel- og rækkehuse;3250 Gilleleje;13.303;11.6;13.89;13.531;14.055;16.615999;16.648001;16.153;3250_5
Ejerlejligheder;3250 Gilleleje;0;0;0;0;0;0;0;0;3250_7
Fritidshuse;3250 Gilleleje;21.281;23.57;26.011;23.525;22.909;29.527;23.429001;25.313;3250_7
Parcel- og rækkehuse;3250 Gilleleje;20.535999;19.333;24.833;21.474001;22.216;23.393999;18.714001;20.528999;3250_7
Ejerlejligheder;3300 Frederiksværk;0;0;0;0;0;0;0;0;3300_11
Fritidshuse;3300 Frederiksværk;18.487;15.54;19.473;22.108999;17.698;15.784;17.523001;12.166;3300_11
Parcel- og rækkehuse;3300 Frederiksværk;12.4;11.033;11.672;11.149;10.41;10.201;10.611;11.138;3300_11
Ejerlejligheder;3300 Frederiksværk;12.942;0;0;0;0;0;0;14.906;3300_15
Fritidshuse;3300 Frederiksværk;13.496;13.986;12.499;14.435;13.422;13.818;13.496;14.609;3300_15
Parcel- og rækkehuse;3300 Frederiksværk;10.69;9.8900003;9.809;9.2399998;10.894;7.9629998;9.632;9.54;3300_15
Ejerlejligheder;3300 Frederiksværk;12.493;11.507;13.321;0;0;0;15.579;14.761;3300_5
Fritidshuse;3300 Frederiksværk;11.74;12.611;13.13;13.545;15.488;15.569;15.307;16.346001;3300_5
Parcel- og rækkehuse;3300 Frederiksværk;9.7679996;10.219;10.486;11.63;10.354;11.333;11.459;11.52;3300_5
Ejerlejligheder;3300 Frederiksværk;19.311001;20.98;21.618;22.612;22.433001;19.965;21.097;18.158001;3300_7
Fritidshuse;3300 Frederiksværk;20.365999;21.777;22.716;21.370001;21.577999;23.49;21.74;24.611;3300_7
Parcel- og rækkehuse;3300 Frederiksværk;15.303;17.099001;18.440001;18.469999;18.382999;18.490999;18.296;17.507;3300_7
Ejerlejligheder;3310 Ølsted;0;0;0;0;0;0;0;0;3310_11
Fritidshuse;3310 Ølsted;0;0;11.134;13.926;13.973;0;0;13.069;3310_11
Parcel- og rækkehuse;3310 Ølsted;0;0;0;8.5530005;0;0;0;0;3310_11
Ejerlejligheder;3310 Ølsted;0;0;0;0;0;0;0;0;3310_15
Fritidshuse;3310 Ølsted;11.737;10.61;10.206;11.767;9.8599997;10.841;8.6689997;16.927999;3310_15
Parcel- og rækkehuse;3310 Ølsted;0;0;0;8.0489998;0;0;0;0;3310_15
Ejerlejligheder;3310 Ølsted;0;0;0;0;0;0;0;0;3310_5
Fritidshuse;3310 Ølsted;12.018;10.234;8.7530003;14.822;12.512;11.926;13.395;13.867;3310_5
Parcel- og rækkehuse;3310 Ølsted;10.155;10.427;11.532;0;12.088;12.016;11.797;0;3310_5
Ejerlejligheder;3310 Ølsted;0;0;0;0;0;0;0;0;3310_7
Fritidshuse;3310 Ølsted;17.292;17.767;19.226999;18.707001;17.854;18.561001;16.634001;0;3310_7
Parcel- og rækkehuse;3310 Ølsted;0;0;0;0;0;0;0;0;3310_7
Ejerlejligheder;3320 Skævinge;0;0;0;0;0;0;0;0;3320_11
Fritidshuse;3320 Skævinge;0;0;0;0;0;0;0;0;3320_11
Parcel- og rækkehuse;3320 Skævinge;12.76;12.223;14.541;15.053;16.018;14.212;13.692;12.05;3320_11
Ejerlejligheder;3320 Skævinge;0;0;0;0;0;0;0;0;3320_15
Fritidshuse;3320 Skævinge;0;0;0;0;0;0;0;0;3320_15
Parcel- og rækkehuse;3320 Skævinge;0;9.1809998;11.421;15.536;13.685;11.192;14.192;13.178;3320_15
Ejerlejligheder;3320 Skævinge;0;0;0;0;0;0;0;0;3320_5
Fritidshuse;3320 Skævinge;0;0;0;0;0;0;0;0;3320_5
Parcel- og rækkehuse;3320 Skævinge;11.341;11.249;11.397;11.177;11.709;13.3;13.384;13.908;3320_5
Ejerlejligheder;3320 Skævinge;0;0;0;0;0;0;0;0;3320_7
Fritidshuse;3320 Skævinge;0;0;0;0;0;0;0;0;3320_7
Parcel- og rækkehuse;3320 Skævinge;16.096001;19.483;18.976999;20.509001;22.08;20.643999;18.902;19.110001;3320_7
Ejerlejligheder;3330 Gørløse;0;0;0;0;0;0;0;0;3330_11
Fritidshuse;3330 Gørløse;0;0;0;0;0;0;0;0;3330_11
Parcel- og rækkehuse;3330 Gørløse;0;0;0;0;0;0;0;0;3330_11
Ejerlejligheder;3330 Gørløse;0;0;0;0;0;0;0;0;3330_15
Fritidshuse;3330 Gørløse;0;0;0;0;0;0;0;0;3330_15
Parcel- og rækkehuse;3330 Gørløse;9.6730003;0;0;0;0;0;11.732;0;3330_15
Ejerlejligheder;3330 Gørløse;0;0;0;0;0;0;0;0;3330_5
Fritidshuse;3330 Gørløse;0;0;0;0;0;0;0;0;3330_5
Parcel- og rækkehuse;3330 Gørløse;0;10.748;10.825;10.272;11.759;10.706;0;0;3330_5
Ejerlejligheder;3330 Gørløse;0;0;0;0;0;0;0;0;3330_7
Fritidshuse;3330 Gørløse;0;0;0;0;0;0;0;0;3330_7
Parcel- og rækkehuse;3330 Gørløse;0;0;0;0;0;0;0;0;3330_7
Ejerlejligheder;3360 Liseleje;0;0;0;0;0;0;0;0;3360_11
Fritidshuse;3360 Liseleje;26.979;0;0;29.110001;0;0;21.438999;24.783001;3360_11
Parcel- og rækkehuse;3360 Liseleje;0;0;0;0;0;0;0;0;3360_11
Ejerlejligheder;3360 Liseleje;0;0;0;0;0;0;0;0;3360_15
Fritidshuse;3360 Liseleje;19.735001;16.990999;15.8;22.884001;18.249001;15.802;22.729;20.476;3360_15
Parcel- og rækkehuse;3360 Liseleje;0;0;0;8.4659996;0;0;9.2259998;9.7159996;3360_15
Ejerlejligheder;3360 Liseleje;0;0;0;0;0;0;0;0;3360_5
Fritidshuse;3360 Liseleje;15.017;17.743;12.714;20.084999;19.406;0;0;0;3360_5
Parcel- og rækkehuse;3360 Liseleje;11.014;0;0;15.533;0;9.4849997;0;0;3360_5
Ejerlejligheder;3360 Liseleje;0;0;0;0;0;0;0;0;3360_7
Fritidshuse;3360 Liseleje;0;46.708;41.083;0;0;0;26.294001;0;3360_7
Parcel- og rækkehuse;3360 Liseleje;0;0;0;0;0;0;0;0;3360_7
Ejerlejligheder;3370 Melby;0;0;0;0;0;0;0;0;3370_11
Fritidshuse;3370 Melby;15.337;14.716;15.829;11.961;16.896;16.798;13.121;10.279;3370_11
Parcel- og rækkehuse;3370 Melby;0;0;0;0;0;0;0;0;3370_11
Ejerlejligheder;3370 Melby;0;0;0;0;0;0;0;0;3370_15
Fritidshuse;3370 Melby;13.881;12.147;11.974;12.528;12.664;7.8909998;13.172;13.695;3370_15
Parcel- og rækkehuse;3370 Melby;0;0;0;0;0;0;0;0;3370_15
Ejerlejligheder;3370 Melby;0;0;0;0;0;0;0;0;3370_5
Fritidshuse;3370 Melby;11.42;10.632;10.634;12.38;12.352;14.037;12.852;13.373;3370_5
Parcel- og rækkehuse;3370 Melby;9.4390001;0;0;0;0;10.161;0;0;3370_5
Ejerlejligheder;3370 Melby;0;0;0;0;0;0;0;0;3370_7
Fritidshuse;3370 Melby;18.087;16.903;18.129999;19.931999;18.9;18.782;20.280001;21.018999;3370_7
Parcel- og rækkehuse;3370 Melby;0;0;0;0;0;0;0;0;3370_7
Ejerlejligheder;3390 Hundested;0;0;0;0;0;0;0;0;3390_11
Fritidshuse;3390 Hundested;19.059;16.872;31.614;23.473;25.643999;0;0;17.642;3390_11
Parcel- og rækkehuse;3390 Hundested;11.24;13.406;11.116;10.809;11.852;9.7810001;9.1379995;9.757;3390_11
Ejerlejligheder;3390 Hundested;0;0;0;0;0;0;0;0;3390_15
Fritidshuse;3390 Hundested;19.493999;15.77;22.559;16.417;16.796;17.729;15.122;18.299999;3390_15
Parcel- og rækkehuse;3390 Hundested;8.4350004;8.8999996;8.7659998;8.9169998;8.1590004;8.7679996;10.457;9.7010002;3390_15
Ejerlejligheder;3390 Hundested;0;0;0;0;0;0;0;0;3390_5
Fritidshuse;3390 Hundested;11.828;15.444;11.777;11.861;17.002001;19.434999;16.708;16.422001;3390_5
Parcel- og rækkehuse;3390 Hundested;10.836;10.13;10.214;9.8290005;11.124;10.83;11.886;10.906;3390_5
Ejerlejligheder;3390 Hundested;0;0;0;0;0;0;0;0;3390_7
Fritidshuse;3390 Hundested;27.358999;27.562;19.885;24.215;0;0;0;0;3390_7
Parcel- og rækkehuse;3390 Hundested;14.437;15.267;16.945999;16.368;17.688999;17.940001;16.410999;15.79;3390_7
Ejerlejligheder;3400 Hillerød;16.983999;17.722;17.646;16.964001;18.028;16.871;16.277;15.276;3400_11
Fritidshuse;3400 Hillerød;0;0;0;0;0;0;0;0;3400_11
Parcel- og rækkehuse;3400 Hillerød;16.301001;17.573;17.601999;18.361;18.079;18.25;18.035;17.405001;3400_11
Ejerlejligheder;3400 Hillerød;17.599001;18.056999;18.396999;17.43;17.493999;17.24;17.664;18.511999;3400_15
Fritidshuse;3400 Hillerød;0;0;0;0;0;0;0;0;3400_15
Parcel- og rækkehuse;3400 Hillerød;16.068001;17.222;16.664;16.662001;16.709;17.4;17.042;18.802;3400_15
Ejerlejligheder;3400 Hillerød;14.886;16.202999;15.645;16.221001;16.582001;16.667;16.934;18.348;3400_5
Fritidshuse;3400 Hillerød;0;0;0;0;0;0;0;0;3400_5
Parcel- og rækkehuse;3400 Hillerød;13.713;13.386;13.865;14.279;13.87;14.907;14.922;15.907;3400_5
Ejerlejligheder;3400 Hillerød;22.091;23.915001;24.52;25.309;23.903;25.325001;23.489;22.618999;3400_7
Fritidshuse;3400 Hillerød;0;0;0;0;0;0;0;0;3400_7
Parcel- og rækkehuse;3400 Hillerød;21.169001;22.299;23.455;24.795;23.406;23.277;23.014;22.615;3400_7
Ejerlejligheder;3450 Allerød;0;0;19.534;0;0;22.250999;0;0;3450_11
Fritidshuse;3450 Allerød;0;0;0;0;0;0;0;0;3450_11
Parcel- og rækkehuse;3450 Allerød;18.111;19.312;19.796;21.92;20.604;18.891001;20.396999;18.639;3450_11
Ejerlejligheder;3450 Allerød;21.086;0;19.402;0;18.556999;15.618;0;22.802999;3450_15
Fritidshuse;3450 Allerød;0;0;0;0;0;0;0;0;3450_15
Parcel- og rækkehuse;3450 Allerød;19.650999;19.624001;19.386;20.391001;20.407;19.813999;19.503;19.948999;3450_15
Ejerlejligheder;3450 Allerød;15.658;16.101999;0;16.889;16.813;16.916;0;0;3450_5
Fritidshuse;3450 Allerød;0;0;0;0;0;0;0;0;3450_5
Parcel- og rækkehuse;3450 Allerød;15.138;14.371;15.194;14.616;15.945;16.673;16.622;17.316;3450_5
Ejerlejligheder;3450 Allerød;22.023001;0;0;0;0;0;0;0;3450_7
Fritidshuse;3450 Allerød;0;0;0;0;0;0;0;0;3450_7
Parcel- og rækkehuse;3450 Allerød;21.931;23.962999;27.118999;26.504;25.334;22.396999;25.007999;23.224001;3450_7
Ejerlejligheder;3460 Birkerød;20.777;20.462999;21.410999;23.223;20.281;19.766001;19.798;17.664;3460_11
Fritidshuse;3460 Birkerød;0;0;0;0;0;0;0;0;3460_11
Parcel- og rækkehuse;3460 Birkerød;23.122999;22.087999;24.294001;23.677;25.226;22.966999;24.139999;24.601;3460_11
Ejerlejligheder;3460 Birkerød;17.705999;17.129;22.282;19.436001;19.969;19.653;19.365999;22.57;3460_15
Fritidshuse;3460 Birkerød;0;0;0;0;0;0;0;0;3460_15
Parcel- og rækkehuse;3460 Birkerød;22.99;23.375;22.615;22.792999;22.778999;23.784;23.107;25.783001;3460_15
Ejerlejligheder;3460 Birkerød;15.373;14.964;16.237;16.513;18.211;17.177999;17.158001;19.886;3460_5
Fritidshuse;3460 Birkerød;0;0;0;0;0;0;0;0;3460_5
Parcel- og rækkehuse;3460 Birkerød;15.016;15.497;15.808;18.097;17.447001;17.233999;18.681999;19.815001;3460_5
Ejerlejligheder;3460 Birkerød;25.082001;27.561001;27.941999;26.919001;24.829;24.861;24.986;22.246;3460_7
Fritidshuse;3460 Birkerød;0;0;0;0;0;0;0;0;3460_7
Parcel- og rækkehuse;3460 Birkerød;27.264999;28.174;28.642;31.573;28.948;30.851;27.162001;28.653999;3460_7
Ejerlejligheder;3480 Fredensborg;0;0;0;17.061001;0;0;0;0;3480_11
Fritidshuse;3480 Fredensborg;0;0;0;0;0;0;0;0;3480_11
Parcel- og rækkehuse;3480 Fredensborg;17.466999;18.054001;19.382999;18.212;19.452;18.167;19.028;17.806999;3480_11
Ejerlejligheder;3480 Fredensborg;15.465;0;13.152;0;13.468;14.729;14.027;14.811;3480_15
Fritidshuse;3480 Fredensborg;0;0;0;0;0;0;0;0;3480_15
Parcel- og rækkehuse;3480 Fredensborg;16.143999;17.820999;17.721001;17.351;18.201;16.667;17.975;16.448999;3480_15
Ejerlejligheder;3480 Fredensborg;14.464;16.318001;16.665001;12.362;14.697;14.176;15.808;15.264;3480_5
Fritidshuse;3480 Fredensborg;0;0;0;0;0;0;0;0;3480_5
Parcel- og rækkehuse;3480 Fredensborg;15.267;14.871;13.157;14.707;15.848;16.511999;15.986;16.031;3480_5
Ejerlejligheder;3480 Fredensborg;0;21.65;25.973;22.763;24.139999;21.378;23.580999;17.849001;3480_7
Fritidshuse;3480 Fredensborg;0;0;0;0;0;0;0;0;3480_7
Parcel- og rækkehuse;3480 Fredensborg;22.396;24.441;24.746;25.195;25.965;25.611;22.367001;23.284;3480_7
Ejerlejligheder;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_11
Fritidshuse;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_11
Parcel- og rækkehuse;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_11
Ejerlejligheder;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_15
Fritidshuse;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_15
Parcel- og rækkehuse;3490 Kvistgård;0;16.606001;0;0;0;0;0;0;3490_15
Ejerlejligheder;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_5
Fritidshuse;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_5
Parcel- og rækkehuse;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_5
Ejerlejligheder;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_7
Fritidshuse;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_7
Parcel- og rækkehuse;3490 Kvistgård;0;0;0;0;0;0;0;0;3490_7
Ejerlejligheder;3500 Værløse;19.066;17.138;19.150999;18.672001;18.295;17.766001;0;0;3500_11
Fritidshuse;3500 Værløse;0;0;0;0;0;0;0;0;3500_11
Parcel- og rækkehuse;3500 Værløse;23.431999;20.914;22.683001;22.451;24.073999;22.313999;23.721001;23.879;3500_11
Ejerlejligheder;3500 Værløse;16.778999;0;17.093;18.843;16.729;20.136999;20.259001;21.643;3500_15
Fritidshuse;3500 Værløse;0;0;0;0;0;0;0;0;3500_15
Parcel- og rækkehuse;3500 Værløse;22.542999;22.888;23.379;24.323;24.037001;23.892;26.082001;25.742001;3500_15
Ejerlejligheder;3500 Værløse;15.524;15.564;15.277;15.127;16.191;17.386;17.142;17.969999;3500_5
Fritidshuse;3500 Værløse;0;0;0;0;0;0;0;0;3500_5
Parcel- og rækkehuse;3500 Værløse;15.004;15.392;14.941;15.544;16.531;16.982;16.969;18.855;3500_5
Ejerlejligheder;3500 Værløse;22.061001;25.826;23.483;23.902;24.076;0;0;22.596001;3500_7
Fritidshuse;3500 Værløse;0;0;0;0;0;0;0;0;3500_7
Parcel- og rækkehuse;3500 Værløse;26.572001;26.868999;25.813;28.006001;28.389999;28.858999;25.919001;26.646999;3500_7
Ejerlejligheder;3520 Farum;16.757999;16.337999;17.997999;17.528999;16.528;19.91;17.233;17.582001;3520_11
Fritidshuse;3520 Farum;0;0;0;0;0;0;0;0;3520_11
Parcel- og rækkehuse;3520 Farum;19.311001;19.389999;18.899;20.575001;18.891001;19.705;19.895;19.802;3520_11
Ejerlejligheder;3520 Farum;19.441;19.434;16.223;18.190001;19.215;18.323999;18.705999;21.58;3520_15
Fritidshuse;3520 Farum;0;0;0;0;0;0;0;0;3520_15
Parcel- og rækkehuse;3520 Farum;18.580999;20.334;20.097;20.392;21.452;19.924999;21.389999;22.424999;3520_15
Ejerlejligheder;3520 Farum;14.687;14.809;14.047;14.022;15.609;15.867;16.26;15.501;3520_5
Fritidshuse;3520 Farum;0;0;0;0;0;0;0;0;3520_5
Parcel- og rækkehuse;3520 Farum;13.515;13.775;13.761;13.908;14.786;15.196;17.438;15.829;3520_5
Ejerlejligheder;3520 Farum;0;0;24.461;22.847;23.378;22.965;24.823;20.238001;3520_7
Fritidshuse;3520 Farum;0;0;0;0;0;0;0;0;3520_7
Parcel- og rækkehuse;3520 Farum;21.489;24.827;26.398001;26.566;26.975;24.757999;24.445;23.056;3520_7
Ejerlejligheder;3540 Lynge;0;0;0;0;0;0;0;0;3540_11
Fritidshuse;3540 Lynge;0;0;0;0;0;0;0;0;3540_11
Parcel- og rækkehuse;3540 Lynge;16.030001;0;0;17.458;18.291;16.469;18.950001;17.4;3540_11
Ejerlejligheder;3540 Lynge;0;0;0;0;0;0;0;0;3540_15
Fritidshuse;3540 Lynge;0;0;0;0;0;0;0;0;3540_15
Parcel- og rækkehuse;3540 Lynge;14.148;15.251;15.807;17.287001;15.59;16.356001;16.063;16.384001;3540_15
Ejerlejligheder;3540 Lynge;0;0;0;0;0;0;0;0;3540_5
Fritidshuse;3540 Lynge;0;0;0;0;0;0;0;0;3540_5
Parcel- og rækkehuse;3540 Lynge;13.04;13.307;11.998;13.674;14.059;12.706;14.452;16.042;3540_5
Ejerlejligheder;3540 Lynge;0;0;0;0;0;0;0;0;3540_7
Fritidshuse;3540 Lynge;0;0;0;0;0;0;0;0;3540_7
Parcel- og rækkehuse;3540 Lynge;19.396;21.886999;23.67;0;0;27.091999;23.517;21.724001;3540_7
Ejerlejligheder;3550 Slangerup;0;0;0;0;0;0;0;0;3550_11
Fritidshuse;3550 Slangerup;0;0;0;0;0;0;0;0;3550_11
Parcel- og rækkehuse;3550 Slangerup;13.077;14.514;14.824;15.497;14.742;15.966;16.768;14.814;3550_11
Ejerlejligheder;3550 Slangerup;0;0;0;0;0;0;0;0;3550_15
Fritidshuse;3550 Slangerup;0;0;0;0;0;0;0;0;3550_15
Parcel- og rækkehuse;3550 Slangerup;14.965;14.123;13.342;13.47;14.038;13.349;13.492;13.943;3550_15
Ejerlejligheder;3550 Slangerup;0;0;0;0;0;0;0;0;3550_5
Fritidshuse;3550 Slangerup;15.215;12.645;13.382;18.363001;18.542999;0;0;0;3550_5
Parcel- og rækkehuse;3550 Slangerup;12.954;12.774;11.41;13.875;12.467;12.262;13.156;15.202;3550_5
Ejerlejligheder;3550 Slangerup;0;0;0;0;0;0;0;0;3550_7
Fritidshuse;3550 Slangerup;0;0;0;0;0;0;0;0;3550_7
Parcel- og rækkehuse;3550 Slangerup;19.436001;20.625;23.042;24.055;21.774;22.028999;22.263;20.827999;3550_7
Ejerlejligheder;3600 Frederikssund;0;0;17.778999;0;0;17.809999;0;0;3600_11
Fritidshuse;3600 Frederikssund;0;0;0;0;0;0;0;0;3600_11
Parcel- og rækkehuse;3600 Frederikssund;14.355;15.437;15.752;15.457;15.092;16.482;15.212;14.16;3600_11
Ejerlejligheder;3600 Frederikssund;19.316999;15.913;16.676001;0;16.722;18.402;22.033001;20.103001;3600_15
Fritidshuse;3600 Frederikssund;0;0;0;0;0;0;0;0;3600_15
Parcel- og rækkehuse;3600 Frederikssund;14.259;15.067;13.947;14.033;15.453;15.835;14.788;15.137;3600_15
Ejerlejligheder;3600 Frederikssund;16.281;15.848;15.365;14.989;16.232;12.544;16.434;17.986;3600_5
Fritidshuse;3600 Frederikssund;0;0;0;0;0;0;0;0;3600_5
Parcel- og rækkehuse;3600 Frederikssund;12.416;11.957;11.33;12.137;12.625;13.873;14.039;13.697;3600_5
Ejerlejligheder;3600 Frederikssund;21.822001;23.475;22.247;0;0;24.636999;25.33;0;3600_7
Fritidshuse;3600 Frederikssund;0;0;0;0;0;0;0;0;3600_7
Parcel- og rækkehuse;3600 Frederikssund;20.228001;21.267;21.870001;22.028;22.52;20.542999;21.559999;20.848;3600_7
Ejerlejligheder;3630 Jægerspris;0;0;0;0;0;0;0;0;3630_11
Fritidshuse;3630 Jægerspris;15.02;11.765;12.667;11.621;11.067;10.655;11.632;9.6400003;3630_11
Parcel- og rækkehuse;3630 Jægerspris;0;12.006;11.151;10.977;10.528;0;0;12.408;3630_11
Ejerlejligheder;3630 Jægerspris;0;0;0;0;0;0;0;0;3630_15
Fritidshuse;3630 Jægerspris;8.4680004;9.3249998;7.954;8.7600002;9.1409998;7.5830002;10.13;8.9860001;3630_15
Parcel- og rækkehuse;3630 Jægerspris;10.793;8.7220001;9.9720001;9.5839996;10.623;9.5719995;10.752;10.203;3630_15
Ejerlejligheder;3630 Jægerspris;0;0;0;0;0;0;0;0;3630_5
Fritidshuse;3630 Jægerspris;9.2740002;8.8450003;9.8009996;9.8780003;10.698;10.816;11.677;11.48;3630_5
Parcel- og rækkehuse;3630 Jægerspris;9.7629995;11.226;10.268;10.795;10.848;11.152;11.764;10.095;3630_5
Ejerlejligheder;3630 Jægerspris;0;0;0;0;0;0;0;0;3630_7
Fritidshuse;3630 Jægerspris;15.816;17.632999;17.697001;14.733;13.75;16.722;15.934;17.733;3630_7
Parcel- og rækkehuse;3630 Jægerspris;14.711;15.799;14.576;15.349;16.940001;16.552999;17.761999;15.866;3630_7
Ejerlejligheder;3650 Ølstykke;0;0;0;0;0;0;0;0;3650_11
Fritidshuse;3650 Ølstykke;0;0;0;0;0;0;0;0;3650_11
Parcel- og rækkehuse;3650 Ølstykke;15.587;15.368;17;16.601999;15.452;16.032;16.535;16.525;3650_11
Ejerlejligheder;3650 Ølstykke;0;0;0;0;0;0;0;21.431;3650_15
Fritidshuse;3650 Ølstykke;0;0;0;0;0;0;0;0;3650_15
Parcel- og rækkehuse;3650 Ølstykke;15.784;16.007;14.132;15.118;15.038;15.798;16.827999;16.688999;3650_15
Ejerlejligheder;3650 Ølstykke;0;16.950001;15.553;0;14.902;0;0;0;3650_5
Fritidshuse;3650 Ølstykke;0;0;0;0;0;0;0;0;3650_5
Parcel- og rækkehuse;3650 Ølstykke;13.096;12.308;12.549;12.34;12.317;13.157;14.083;0;3650_5
Ejerlejligheder;3650 Ølstykke;23.783001;0;0;0;0;0;20.643;0;3650_7
Fritidshuse;3650 Ølstykke;0;0;0;0;0;0;0;0;3650_7
Parcel- og rækkehuse;3650 Ølstykke;19.169001;22.155001;21.458;22.294001;22.031;20.073;20.775999;21.062;3650_7
Ejerlejligheder;3660 Stenløse;0;0;0;0;0;0;0;0;3660_11
Fritidshuse;3660 Stenløse;0;0;0;0;0;0;0;0;3660_11
Parcel- og rækkehuse;3660 Stenløse;15.619;14.426;15.136;18.339001;15.448;16.403999;15.525;14.897;3660_11
Ejerlejligheder;3660 Stenløse;0;0;0;0;0;0;0;0;3660_15
Fritidshuse;3660 Stenløse;0;0;0;0;0;0;0;0;3660_15
Parcel- og rækkehuse;3660 Stenløse;15.025;14.051;15.659;15.163;15.825;16.601;17.51;16.948;3660_15
Ejerlejligheder;3660 Stenløse;0;14.902;0;0;0;16.479;0;0;3660_5
Fritidshuse;3660 Stenløse;0;0;0;0;0;0;0;0;3660_5
Parcel- og rækkehuse;3660 Stenløse;11.375;12.645;12.778;12.508;12.76;13.126;13.041;14.76;3660_5
Ejerlejligheder;3660 Stenløse;0;0;0;0;0;0;0;0;3660_7
Fritidshuse;3660 Stenløse;0;0;0;0;0;0;0;0;3660_7
Parcel- og rækkehuse;3660 Stenløse;18.101;20.649;22.235001;20.848;20.743;21.226;20.033001;18.983999;3660_7
Ejerlejligheder;3670 Veksø Sjælland;0;0;0;0;0;0;0;0;3670_11
Fritidshuse;3670 Veksø Sjælland;0;0;0;0;0;0;0;0;3670_11
Parcel- og rækkehuse;3670 Veksø Sjælland;0;0;0;0;0;0;0;0;3670_11
Ejerlejligheder;3670 Veksø Sjælland;0;0;0;0;0;0;0;0;3670_15
Fritidshuse;3670 Veksø Sjælland;0;0;0;0;0;0;0;0;3670_15
Parcel- og rækkehuse;3670 Veksø Sjælland;18.379999;0;0;19.150999;13.181;17.402;16.851;18.790001;3670_15
Ejerlejligheder;3670 Veksø Sjælland;0;0;0;0;0;0;0;0;3670_5
Fritidshuse;3670 Veksø Sjælland;0;0;0;0;0;0;0;0;3670_5
Parcel- og rækkehuse;3670 Veksø Sjælland;0;13.043;13.453;14.573;13.331;13.096;0;0;3670_5
Ejerlejligheder;3670 Veksø Sjælland;0;0;0;0;0;0;0;0;3670_7
Fritidshuse;3670 Veksø Sjælland;0;0;0;0;0;0;0;0;3670_7
Parcel- og rækkehuse;3670 Veksø Sjælland;18.173;24.225;23.882999;0;0;0;0;0;3670_7
Ejerlejligheder;3700 Rønne;0;0;0;0;0;0;0;0;3700_11
Fritidshuse;3700 Rønne;0;0;0;0;0;0;0;0;3700_11
