type;area;Q2_03;Q3_03;Q4_03;Q1_04;Q2_04;Q3_04;Q4_04;Q1_05
Parcel- og rækkehuse;1000 København K;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;1500 København V;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;1800 Frederiksberg C;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2000 Frederiksberg;18.125;17.358;20.560;17.340;18.575;22.247;25.590;26.492
Parcel- og rækkehuse;2100 København Ø;20.069;18.891;21.032;21.550;17.128;18.373;23.423;19.349
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2300 København S;14.278;15.153;15.432;15.510;16.717;16.925;17.878;18.752
Parcel- og rækkehuse;2400 København NV;17.941;17.350;16.320;16.611;18.846;0;19.277;19.758
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2500 Valby;15.120;14.593;15.321;15.336;17.296;18.431;19.223;20.969
Parcel- og rækkehuse;2600 Glostrup;12.848;12.960;12.481;13.529;14.205;13.678;15.018;16.055
Parcel- og rækkehuse;2605 Brøndby;14.241;13.381;12.993;12.953;14.063;14.503;16.439;16.028
Parcel- og rækkehuse;2610 Rødovre;14.057;13.165;14.397;14.870;14.892;16.337;15.347;16.423
Parcel- og rækkehuse;2620 Albertslund;12.092;12.124;12.824;12.031;12.748;13.871;14.359;14.687
Parcel- og rækkehuse;2625 Vallensbæk;15.655;14.974;14.919;15.833;16.592;15.803;17.337;16.813
Parcel- og rækkehuse;2630 Taastrup;13.849;13.838;12.910;13.615;13.632;14.686;14.593;15.015
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2635 Ishøj;12.808;12.985;13.414;12.871;13.554;13.792;14.880;14.730
Parcel- og rækkehuse;2640 Hedehusene;11.953;12.519;10.966;12.371;12.561;13.504;14.407;14.301
Parcel- og rækkehuse;2650 Hvidovre;12.963;13.242;13.800;13.981;14.440;15.088;15.772;16.291
Parcel- og rækkehuse;2660 Brøndby Strand;12.709;14.250;13.972;13.372;15.084;17.122;16.332;17.307
Parcel- og rækkehuse;2665 Vallensbæk Strand;13.468;15.072;15.992;15.101;15.233;16.480;17.024;17.252
Parcel- og rækkehuse;2670 Greve;13.195;12.944;12.982;14.021;13.754;14.793;14.963;15.551
Parcel- og rækkehuse;2680 Solrød Strand;14.050;13.828;14.917;14.918;16.145;16.804;15.180;16.659
Parcel- og rækkehuse;2690 Karlslunde;12.710;14.133;14.207;14.105;13.320;15.209;14.798;15.183
Parcel- og rækkehuse;2700 Brønshøj;14.624;14.265;15.000;15.722;16.111;17.412;18.348;19.595
Parcel- og rækkehuse;2720 Vanløse;16.310;15.608;15.025;15.884;15.699;17.291;18.107;18.769
Parcel- og rækkehuse;2730 Herlev;13.404;14.035;13.611;13.619;15.355;15.260;16.201;16.794
Parcel- og rækkehuse;2740 Skovlunde;13.621;13.081;13.340;14.756;14.524;16.363;16.099;17.154
Parcel- og rækkehuse;2750 Ballerup;13.239;12.872;13.578;14.095;14.885;15.110;16.918;16.686
Parcel- og rækkehuse;2760 Måløv;13.516;12.587;11.989;13.999;15.813;15.396;17.586;16.208
Parcel- og rækkehuse;2765 Smørum;14.142;14.953;15.656;15.062;15.244;16.122;14.975;17.079
Parcel- og rækkehuse;2770 Kastrup;13.745;14.166;13.720;15.057;15.045;15.755;17.047;16.664
Parcel- og rækkehuse;2791 Dragør;13.636;14.021;13.470;15.595;15.782;16.230;15.435;17.410
Parcel- og rækkehuse;2800 Kongens Lyngby;16.782;16.761;17.321;17.942;18.718;20.131;19.165;21.909
Parcel- og rækkehuse;2820 Gentofte;16.895;17.845;17.717;17.407;19.223;19.419;22.353;22.885
Parcel- og rækkehuse;2830 Virum;16.881;17.745;17.495;19.072;19.424;20.151;20.998;22.555
Parcel- og rækkehuse;2840 Holte;18.162;17.398;17.587;18.429;18.727;20.851;20.641;20.923
Parcel- og rækkehuse;2850 Nærum;17.915;17.149;18.128;17.921;20.115;18.848;21.912;22.070
Parcel- og rækkehuse;2860 Søborg;15.277;15.063;14.822;15.728;16.898;17.811;17.359;19.137
Parcel- og rækkehuse;2870 Dyssegård;16.010;17.495;16.878;0;20.703;19.232;0;0
Parcel- og rækkehuse;2880 Bagsværd;15.586;15.405;17.195;15.849;17.521;15.497;17.698;18.402
Parcel- og rækkehuse;2900 Hellerup;17.848;18.198;15.730;18.618;19.209;20.550;20.550;25.421
Parcel- og rækkehuse;2920 Charlottenlund;19.429;20.418;19.502;21.467;21.071;25.431;25.380;28.098
Parcel- og rækkehuse;2930 Klampenborg;20.748;19.782;17.961;23.556;22.798;29.566;26.087;24.672
Parcel- og rækkehuse;2942 Skodsborg;0;0;25.066;0;0;29.174;0;0
Parcel- og rækkehuse;2950 Vedbæk;18.208;18.728;16.880;18.675;18.454;22.311;19.957;24.926
Parcel- og rækkehuse;2960 Rungsted Kyst;17.192;19.154;19.812;18.491;18.800;22.049;22.790;24.466
Parcel- og rækkehuse;2970 Hørsholm;16.135;16.808;16.469;16.979;17.521;19.118;18.518;20.747
Parcel- og rækkehuse;2980 Kokkedal;14.433;12.894;13.011;14.887;13.935;13.883;15.079;14.597
Parcel- og rækkehuse;2990 Nivå;14.338;14.661;14.950;14.824;15.082;15.772;15.808;16.409
Parcel- og rækkehuse;3000 Helsingør;13.237;13.045;12.661;13.920;14.304;15.172;15.784;16.728
Parcel- og rækkehuse;3050 Humlebæk;15.716;17.077;18.649;14.436;17.886;16.637;16.675;22.341
Parcel- og rækkehuse;3060 Espergærde;14.374;16.313;14.524;15.786;15.534;17.584;17.482;19.269
Parcel- og rækkehuse;3070 Snekkersten;16.189;17.520;15.580;13.339;16.885;15.065;16.338;18.703
Parcel- og rækkehuse;3080 Tikøb;0;0;8.775;0;14.124;0;0;0
Parcel- og rækkehuse;3100 Hornbæk;14.257;13.601;14.514;15.183;14.093;15.994;14.863;18.142
Parcel- og rækkehuse;3120 Dronningmølle;12.120;0;0;14.033;12.721;0;0;0
Parcel- og rækkehuse;3140 Ålsgårde;12.642;16.633;14.924;15.071;14.466;16.013;15.270;17.584
Parcel- og rækkehuse;3150 Hellebæk;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3200 Helsinge;12.021;11.838;11.441;11.502;12.503;13.318;12.714;13.717
Parcel- og rækkehuse;3210 Vejby;11.640;10.028;0;11.747;11.603;11.212;11.626;14.743
Parcel- og rækkehuse;3220 Tisvildeleje;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3230 Græsted;11.074;11.385;10.287;10.970;11.246;11.615;12.191;11.959
Parcel- og rækkehuse;3250 Gilleleje;13.303;11.600;13.890;13.531;14.055;16.616;16.648;16.153
Parcel- og rækkehuse;3300 Frederiksværk;9.768;10.219;10.486;11.630;10.354;11.333;11.459;11.520
Parcel- og rækkehuse;3310 Ølsted;10.155;10.427;11.532;0;12.088;12.016;11.797;0
Parcel- og rækkehuse;3320 Skævinge;11.341;11.249;11.397;11.177;11.709;13.300;13.384;13.908
Parcel- og rækkehuse;3330 Gørløse;0;10.748;10.825;10.272;11.759;10.706;0;0
Parcel- og rækkehuse;3360 Liseleje;11.014;0;0;15.533;0;9.485;0;0
Parcel- og rækkehuse;3370 Melby;9.439;0;0;0;0;10.161;0;0
Parcel- og rækkehuse;3390 Hundested;10.836;10.130;10.214;9.829;11.124;10.830;11.886;10.906
