type;area;t1;t2;t3;t4;t5;t6;t7;t8;zipy
Parcel- og rækkehuse;1000 København K;1;0;2;1;0;1;4;1;1000_15
Parcel- og rækkehuse;1500 København V;0;1;0;2;0;0;0;2;1500_15
Parcel- og rækkehuse;1800 Frederiksberg C;1;2;1;1;5;0;1;2;1800_15
Parcel- og rækkehuse;2000 Frederiksberg;10;8;11;20;14;7;19;16;2000_15
Parcel- og rækkehuse;2100 København Ø;8;12;9;10;10;10;14;12;2100_15
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0;2200_15
Parcel- og rækkehuse;2300 København S;49;45;42;51;55;57;67;47;2300_15
Parcel- og rækkehuse;2400 København NV;17;14;15;12;7;6;6;12;2400_15
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;1;2450_15
Parcel- og rækkehuse;2500 Valby;37;25;30;45;34;32;35;48;2500_15
Parcel- og rækkehuse;2600 Glostrup;28;34;25;28;40;42;54;49;2600_15
Parcel- og rækkehuse;2605 Brøndby;35;23;23;31;34;22;33;35;2605_15
Parcel- og rækkehuse;2610 Rødovre;55;50;45;66;44;57;65;81;2610_15
Parcel- og rækkehuse;2620 Albertslund;20;15;23;19;17;21;21;36;2620_15
Parcel- og rækkehuse;2625 Vallensbæk;10;9;7;15;27;9;16;15;2625_15
Parcel- og rækkehuse;2630 Taastrup;37;35;37;57;45;32;62;62;2630_15
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0;2633_15
Parcel- og rækkehuse;2635 Ishøj;26;23;19;27;27;28;41;32;2635_15
Parcel- og rækkehuse;2640 Hedehusene;22;19;21;23;21;19;19;30;2640_15
Parcel- og rækkehuse;2650 Hvidovre;71;64;76;98;109;92;114;103;2650_15
Parcel- og rækkehuse;2660 Brøndby Strand;15;17;19;18;13;14;13;25;2660_15
Parcel- og rækkehuse;2665 Vallensbæk Strand;13;20;15;24;15;16;27;30;2665_15
Parcel- og rækkehuse;2670 Greve;56;42;43;71;75;60;82;112;2670_15
Parcel- og rækkehuse;2680 Solrød Strand;39;42;46;37;38;37;44;57;2680_15
Parcel- og rækkehuse;2690 Karlslunde;18;17;23;18;19;19;23;54;2690_15
Parcel- og rækkehuse;2700 Brønshøj;38;33;48;50;45;33;55;50;2700_15
Parcel- og rækkehuse;2720 Vanløse;27;22;26;19;29;25;29;28;2720_15
Parcel- og rækkehuse;2730 Herlev;46;43;39;45;49;44;53;56;2730_15
Parcel- og rækkehuse;2740 Skovlunde;15;17;13;22;24;18;20;34;2740_15
Parcel- og rækkehuse;2750 Ballerup;28;20;22;26;30;36;28;41;2750_15
Parcel- og rækkehuse;2760 Måløv;10;6;6;3;1;8;9;9;2760_15
Parcel- og rækkehuse;2765 Smørum;28;25;26;33;37;16;21;34;2765_15
Parcel- og rækkehuse;2770 Kastrup;57;57;70;80;88;68;71;103;2770_15
Parcel- og rækkehuse;2791 Dragør;40;31;51;60;51;41;55;62;2791_15
Parcel- og rækkehuse;2800 Kongens Lyngby;51;44;49;41;65;53;77;59;2800_15
Parcel- og rækkehuse;2820 Gentofte;44;38;25;44;25;40;30;48;2820_15
Parcel- og rækkehuse;2830 Virum;47;47;32;61;46;44;57;55;2830_15
Parcel- og rækkehuse;2840 Holte;38;32;43;40;39;33;46;50;2840_15
Parcel- og rækkehuse;2850 Nærum;17;7;7;5;4;14;7;15;2850_15
Parcel- og rækkehuse;2860 Søborg;33;23;29;28;58;39;47;61;2860_15
Parcel- og rækkehuse;2870 Dyssegård;10;9;8;13;10;11;10;9;2870_15
Parcel- og rækkehuse;2880 Bagsværd;25;29;31;30;38;33;23;47;2880_15
Parcel- og rækkehuse;2900 Hellerup;32;27;26;26;37;40;42;47;2900_15
Parcel- og rækkehuse;2920 Charlottenlund;26;22;33;36;29;34;43;54;2920_15
Parcel- og rækkehuse;2930 Klampenborg;7;12;12;16;16;7;13;12;2930_15
Parcel- og rækkehuse;2942 Skodsborg;2;1;0;3;4;2;1;1;2942_15
Parcel- og rækkehuse;2950 Vedbæk;22;23;17;20;18;14;27;31;2950_15
Parcel- og rækkehuse;2960 Rungsted Kyst;15;17;16;24;17;10;22;20;2960_15
Parcel- og rækkehuse;2970 Hørsholm;46;42;41;50;47;38;43;59;2970_15
Parcel- og rækkehuse;2980 Kokkedal;29;20;15;17;19;16;24;33;2980_15
Parcel- og rækkehuse;2990 Nivå;8;18;12;19;17;16;10;22;2990_15
Parcel- og rækkehuse;3000 Helsingør;27;23;28;24;20;29;42;34;3000_15
Parcel- og rækkehuse;3050 Humlebæk;11;9;17;17;25;13;15;21;3050_15
Parcel- og rækkehuse;3060 Espergærde;24;20;25;27;21;26;37;39;3060_15
Parcel- og rækkehuse;3070 Snekkersten;10;9;11;5;10;16;10;7;3070_15
Parcel- og rækkehuse;3080 Tikøb;2;0;2;2;4;1;2;3;3080_15
Parcel- og rækkehuse;3100 Hornbæk;6;6;11;12;15;15;9;16;3100_15
Parcel- og rækkehuse;3120 Dronningmølle;0;5;0;2;1;0;2;6;3120_15
Parcel- og rækkehuse;3140 Ålsgårde;8;12;11;18;13;14;18;24;3140_15
Parcel- og rækkehuse;3150 Hellebæk;0;0;0;1;2;0;3;3;3150_15
Parcel- og rækkehuse;3200 Helsinge;31;30;12;31;33;26;29;42;3200_15
Parcel- og rækkehuse;3210 Vejby;2;5;6;3;7;6;3;2;3210_15
Parcel- og rækkehuse;3220 Tisvildeleje;3;4;3;0;5;4;4;5;3220_15
Parcel- og rækkehuse;3230 Græsted;13;12;10;13;14;12;17;21;3230_15
Parcel- og rækkehuse;3250 Gilleleje;13;11;16;10;18;18;23;29;3250_15
Parcel- og rækkehuse;3300 Frederiksværk;28;27;20;19;29;32;26;45;3300_15
Parcel- og rækkehuse;3310 Ølsted;3;4;2;5;4;2;3;2;3310_15
Parcel- og rækkehuse;3320 Skævinge;3;7;15;8;10;8;9;13;3320_15
Parcel- og rækkehuse;3330 Gørløse;6;3;1;3;4;0;5;3;3330_15
Parcel- og rækkehuse;3360 Liseleje;3;0;4;7;3;0;6;5;3360_15
Parcel- og rækkehuse;3370 Melby;1;1;3;1;4;0;0;1;3370_15
Parcel- og rækkehuse;3390 Hundested;18;25;22;19;20;21;17;41;3390_15
Parcel- og rækkehuse;3400 Hillerød;47;47;60;57;58;53;62;87;3400_15
Parcel- og rækkehuse;3450 Allerød;42;35;38;43;43;35;50;47;3450_15
Parcel- og rækkehuse;3460 Birkerød;40;39;35;51;38;40;44;52;3460_15
Parcel- og rækkehuse;3480 Fredensborg;21;25;24;25;19;21;32;31;3480_15
Parcel- og rækkehuse;3490 Kvistgård;0;6;3;3;1;1;2;3;3490_15
Parcel- og rækkehuse;3500 Værløse;45;38;39;48;45;37;56;60;3500_15
Parcel- og rækkehuse;3520 Farum;36;24;33;34;34;44;34;25;3520_15
Parcel- og rækkehuse;3540 Lynge;10;6;11;5;10;9;12;12;3540_15
Parcel- og rækkehuse;3550 Slangerup;19;11;12;31;19;24;20;28;3550_15
Parcel- og rækkehuse;3600 Frederikssund;31;21;26;47;42;35;52;62;3600_15
Parcel- og rækkehuse;3630 Jægerspris;13;7;18;9;15;16;11;15;3630_15
Parcel- og rækkehuse;3650 Ølstykke;38;35;37;43;45;27;49;51;3650_15
Parcel- og rækkehuse;3660 Stenløse;16;18;24;25;27;30;33;39;3660_15
Parcel- og rækkehuse;3670 Veksø Sjælland;6;4;1;9;6;11;5;7;3670_15
Parcel- og rækkehuse;3700 Rønne;32;39;41;43;48;53;59;42;3700_15
Parcel- og rækkehuse;3720 Aakirkeby;10;6;10;4;10;10;15;9;3720_15
Parcel- og rækkehuse;3730 Nexø;14;10;9;17;13;11;11;22;3730_15
Parcel- og rækkehuse;3740 Svaneke;8;6;7;6;12;4;11;7;3740_15
Parcel- og rækkehuse;3751 Østermarie;2;2;1;4;2;2;2;1;3751_15
Parcel- og rækkehuse;3760 Gudhjem;8;7;5;3;9;4;3;2;3760_15
Parcel- og rækkehuse;3770 Allinge;8;6;8;12;10;14;10;11;3770_15
Parcel- og rækkehuse;3782 Klemensker;2;0;2;1;4;2;0;4;3782_15
Parcel- og rækkehuse;3790 Hasle;5;5;3;8;9;10;3;8;3790_15
Parcel- og rækkehuse;4000 Roskilde;92;101;88;123;104;98;129;142;4000_15
Parcel- og rækkehuse;4030 Tune;16;9;15;13;14;14;23;25;4030_15
Parcel- og rækkehuse;4040 Jyllinge;24;20;15;19;26;29;23;40;4040_15
Parcel- og rækkehuse;4050 Skibby;11;15;9;5;13;14;11;18;4050_15
Parcel- og rækkehuse;4060 Kirke Såby;5;10;6;10;4;7;4;7;4060_15
Parcel- og rækkehuse;4070 Kirke Hyllinge;16;6;15;15;13;10;12;15;4070_15
Parcel- og rækkehuse;4100 Ringsted;43;32;43;52;48;46;55;75;4100_15
Parcel- og rækkehuse;4105 Ringsted;0;0;0;0;0;0;0;0;4105_15
Parcel- og rækkehuse;4130 Viby Sjælland;6;11;4;18;12;14;10;14;4130_15
Parcel- og rækkehuse;4140 Borup;4;8;12;10;8;10;7;15;4140_15
Parcel- og rækkehuse;4160 Herlufmagle;8;11;4;5;9;4;9;6;4160_15
Parcel- og rækkehuse;4171 Glumsø;3;7;3;3;4;4;2;6;4171_15
Parcel- og rækkehuse;4173 Fjenneslev;2;3;7;2;2;3;3;4;4173_15
Parcel- og rækkehuse;4174 Jystrup Midtsj;2;5;3;0;4;4;3;2;4174_15
Parcel- og rækkehuse;4180 Sorø;29;15;12;18;32;20;33;34;4180_15
Parcel- og rækkehuse;4190 Munke Bjergby;2;1;0;0;1;2;2;1;4190_15
Parcel- og rækkehuse;4200 Slagelse;40;49;49;58;45;54;65;69;4200_15
Parcel- og rækkehuse;4220 Korsør;21;13;14;20;21;16;20;35;4220_15
Parcel- og rækkehuse;4230 Skælskør;12;13;12;13;12;13;11;15;4230_15
Parcel- og rækkehuse;4241 Vemmelev;4;9;10;9;6;9;7;6;4241_15
Parcel- og rækkehuse;4242 Boeslunde;1;0;2;0;0;1;1;2;4242_15
Parcel- og rækkehuse;4243 Rude;1;1;1;3;3;2;3;2;4243_15
Parcel- og rækkehuse;4250 Fuglebjerg;7;2;4;3;9;5;4;8;4250_15
Parcel- og rækkehuse;4261 Dalmose;4;5;2;2;3;2;3;5;4261_15
Parcel- og rækkehuse;4262 Sandved;4;1;2;3;1;1;2;2;4262_15
Parcel- og rækkehuse;4270 Høng;11;9;3;11;10;11;7;13;4270_15
Parcel- og rækkehuse;4281 Gørlev;6;4;4;9;6;11;7;9;4281_15
Parcel- og rækkehuse;4291 Ruds Vedby;3;4;5;1;2;3;3;4;4291_15
Parcel- og rækkehuse;4293 Dianalund;9;13;7;13;6;10;8;7;4293_15
Parcel- og rækkehuse;4295 Stenlille;4;7;6;7;4;4;6;8;4295_15
Parcel- og rækkehuse;4296 Nyrup;0;0;0;2;2;1;3;4;4296_15
Parcel- og rækkehuse;4300 Holbæk;41;34;51;43;38;44;42;57;4300_15
Parcel- og rækkehuse;4320 Lejre;10;12;13;10;13;9;17;16;4320_15
Parcel- og rækkehuse;4330 Hvalsø;3;7;4;14;11;15;14;18;4330_15
Parcel- og rækkehuse;4340 Tølløse;9;7;4;8;13;6;14;14;4340_15
Parcel- og rækkehuse;4350 Ugerløse;1;2;1;0;3;2;3;3;4350_15
Parcel- og rækkehuse;4360 Kirke Eskilstrup;1;3;0;2;0;1;2;3;4360_15
Parcel- og rækkehuse;4370 Store Merløse;1;1;1;2;1;3;7;4;4370_15
Parcel- og rækkehuse;4390 Vipperød;1;4;5;5;7;3;15;8;4390_15
Parcel- og rækkehuse;4400 Kalundborg;34;18;32;39;31;41;35;37;4400_15
Parcel- og rækkehuse;4420 Regstrup;5;2;3;5;6;3;9;3;4420_15
Parcel- og rækkehuse;4440 Mørkøv;5;7;10;3;1;4;5;8;4440_15
Parcel- og rækkehuse;4450 Jyderup;3;9;14;5;8;13;7;8;4450_15
Parcel- og rækkehuse;4460 Snertinge;2;2;2;0;2;1;2;3;4460_15
Parcel- og rækkehuse;4470 Svebølle;5;8;4;5;3;2;3;8;4470_15
Parcel- og rækkehuse;4480 Store Fuglede;1;3;0;0;0;1;1;2;4480_15
Parcel- og rækkehuse;4490 Jerslev Sjælland;5;4;5;3;3;7;5;2;4490_15
Parcel- og rækkehuse;4500 Nykøbing Sj;19;15;16;10;14;13;10;11;4500_15
Parcel- og rækkehuse;4520 Svinninge;6;6;6;7;3;10;8;9;4520_15
Parcel- og rækkehuse;4532 Gislinge;2;0;3;0;1;4;3;5;4532_15
Parcel- og rækkehuse;4534 Hørve;1;3;4;6;4;3;6;6;4534_15
Parcel- og rækkehuse;4540 Fårevejle;8;4;3;5;8;5;6;12;4540_15
Parcel- og rækkehuse;4550 Asnæs;2;5;1;6;5;10;8;9;4550_15
Parcel- og rækkehuse;4560 Vig;0;2;5;4;5;6;6;2;4560_15
Parcel- og rækkehuse;4571 Grevinge;2;3;0;3;3;2;2;1;4571_15
Parcel- og rækkehuse;4572 Nørre Asmindrup;0;2;2;0;0;0;2;1;4572_15
Parcel- og rækkehuse;4573 Højby;5;2;2;5;4;2;5;5;4573_15
Parcel- og rækkehuse;4581 Rørvig;2;5;2;3;6;5;4;4;4581_15
Parcel- og rækkehuse;4583 Sjællands Odde;0;1;3;1;2;3;3;5;4583_15
Parcel- og rækkehuse;4591 Føllenslev;1;1;1;2;3;3;2;1;4591_15
Parcel- og rækkehuse;4592 Sejerø;0;0;0;0;1;0;0;1;4592_15
Parcel- og rækkehuse;4593 Eskebjerg;1;1;1;2;2;1;2;2;4593_15
Parcel- og rækkehuse;4600 Køge;51;50;50;64;69;59;68;91;4600_15
Parcel- og rækkehuse;4621 Gadstrup;5;8;6;8;9;8;10;6;4621_15
Parcel- og rækkehuse;4622 Havdrup;12;7;11;8;18;12;20;18;4622_15
Parcel- og rækkehuse;4623 Lille Skensved;6;6;9;3;8;11;17;17;4623_15
Parcel- og rækkehuse;4632 Bjæverskov;11;4;13;10;10;12;13;20;4632_15
Parcel- og rækkehuse;4640 Faxe;10;11;9;6;6;9;13;11;4640_15
Parcel- og rækkehuse;4652 Hårlev;10;13;8;8;8;6;8;18;4652_15
Parcel- og rækkehuse;4653 Karise;5;6;8;3;7;7;3;10;4653_15
Parcel- og rækkehuse;4654 Faxe Ladeplads;5;3;7;7;6;9;8;6;4654_15
Parcel- og rækkehuse;4660 Store Heddinge;4;9;7;11;16;10;7;13;4660_15
Parcel- og rækkehuse;4671 Strøby;2;1;3;0;5;1;1;4;4671_15
Parcel- og rækkehuse;4672 Klippinge;1;1;1;1;5;4;2;4;4672_15
Parcel- og rækkehuse;4673 Rødvig Stevns;5;6;1;4;6;3;4;5;4673_15
Parcel- og rækkehuse;4681 Herfølge;6;5;9;8;4;7;10;18;4681_15
Parcel- og rækkehuse;4682 Tureby;7;3;4;3;4;2;2;4;4682_15
Parcel- og rækkehuse;4683 Rønnede;6;4;3;8;5;12;5;7;4683_15
Parcel- og rækkehuse;4684 Holmegaard;10;5;8;14;18;7;16;15;4684_15
Parcel- og rækkehuse;4690 Haslev;29;32;26;30;24;22;31;34;4690_15
Parcel- og rækkehuse;4700 Næstved;73;52;66;73;66;86;99;107;4700_15
Parcel- og rækkehuse;4720 Præstø;7;11;12;9;13;17;18;10;4720_15
Parcel- og rækkehuse;4733 Tappernøje;6;5;3;7;9;7;10;10;4733_15
Parcel- og rækkehuse;4735 Mern;2;2;4;0;7;5;1;7;4735_15
Parcel- og rækkehuse;4736 Karrebæksminde;4;1;1;1;5;4;3;2;4736_15
Parcel- og rækkehuse;4750 Lundby;7;3;4;5;4;4;8;3;4750_15
Parcel- og rækkehuse;4760 Vordingborg;18;23;35;22;21;25;22;26;4760_15
Parcel- og rækkehuse;4771 Kalvehave;3;7;3;2;8;6;3;4;4771_15
Parcel- og rækkehuse;4772 Langebæk;0;2;0;2;1;1;1;0;4772_15
Parcel- og rækkehuse;4773 Stensved;6;9;2;2;2;3;3;6;4773_15
Parcel- og rækkehuse;4780 Stege;15;16;17;9;15;9;17;21;4780_15
Parcel- og rækkehuse;4791 Borre;4;0;3;6;5;2;4;2;4791_15
Parcel- og rækkehuse;4792 Askeby;2;4;1;3;6;0;3;4;4792_15
Parcel- og rækkehuse;4793 Bogø By;1;3;2;3;0;2;4;1;4793_15
Parcel- og rækkehuse;4800 Nykøbing F;44;29;38;36;46;37;30;55;4800_15
Parcel- og rækkehuse;4840 Nørre Alslev;12;10;11;11;15;14;10;17;4840_15
Parcel- og rækkehuse;4850 Stubbekøbing;4;7;7;7;10;6;6;11;4850_15
Parcel- og rækkehuse;4862 Guldborg;4;3;3;2;3;4;4;2;4862_15
Parcel- og rækkehuse;4863 Eskilstrup;1;2;4;7;5;4;6;5;4863_15
Parcel- og rækkehuse;4871 Horbelev;5;2;3;2;3;1;3;4;4871_15
Parcel- og rækkehuse;4872 Idestrup;3;3;2;2;2;2;1;6;4872_15
Parcel- og rækkehuse;4873 Væggerløse;7;2;5;4;3;3;6;9;4873_15
Parcel- og rækkehuse;4874 Gedser;4;2;1;6;7;3;0;3;4874_15
Parcel- og rækkehuse;4880 Nysted;8;7;5;6;6;3;6;3;4880_15
Parcel- og rækkehuse;4891 Toreby L;3;0;2;4;1;2;3;4;4891_15
Parcel- og rækkehuse;4892 Kettinge;2;4;4;0;7;2;5;6;4892_15
Parcel- og rækkehuse;4894 Øster Ulslev;3;2;0;1;1;1;1;2;4894_15
Parcel- og rækkehuse;4895 Errindlev;0;1;0;1;1;1;2;2;4895_15
Parcel- og rækkehuse;4900 Nakskov;31;21;18;32;22;19;23;26;4900_15
Parcel- og rækkehuse;4912 Harpelunde;1;0;1;1;1;1;0;1;4912_15
Parcel- og rækkehuse;4913 Horslunde;9;3;3;1;4;8;2;1;4913_15
Parcel- og rækkehuse;4920 Søllested;1;6;6;3;5;5;3;3;4920_15
Parcel- og rækkehuse;4930 Maribo;13;7;12;14;15;12;10;18;4930_15
Parcel- og rækkehuse;4941 Bandholm;0;2;3;3;4;2;4;2;4941_15
Parcel- og rækkehuse;4943 Torrig L;0;1;1;3;2;0;1;0;4943_15
Parcel- og rækkehuse;4944 Fejø;1;0;1;0;1;2;2;0;4944_15
Parcel- og rækkehuse;4951 Nørreballe;1;1;0;1;2;0;2;0;4951_15
Parcel- og rækkehuse;4952 Stokkemarke;0;0;2;3;1;1;1;0;4952_15
Parcel- og rækkehuse;4953 Vesterborg;0;0;1;1;0;1;0;0;4953_15
Parcel- og rækkehuse;4960 Holeby;2;2;9;1;5;1;6;4;4960_15
Parcel- og rækkehuse;4970 Rødby;9;8;8;18;10;9;16;8;4970_15
Parcel- og rækkehuse;4983 Dannemare;1;5;2;4;5;2;2;2;4983_15
Parcel- og rækkehuse;4990 Sakskøbing;13;11;19;13;11;16;9;14;4990_15
Parcel- og rækkehuse;5000 Odense C;36;27;33;33;34;28;27;41;5000_15
Parcel- og rækkehuse;5200 Odense V;7;7;9;8;4;7;9;18;5200_15
Parcel- og rækkehuse;5210 Odense NV;30;37;42;38;44;47;52;61;5210_15
Parcel- og rækkehuse;5220 Odense SØ;17;19;14;25;21;17;17;34;5220_15
Parcel- og rækkehuse;5230 Odense M;36;25;28;44;29;37;48;42;5230_15
Parcel- og rækkehuse;5240 Odense NØ;10;8;9;14;15;16;9;14;5240_15
Parcel- og rækkehuse;5250 Odense SV;42;39;50;59;54;44;46;76;5250_15
Parcel- og rækkehuse;5260 Odense S;31;25;27;50;34;29;35;49;5260_15
Parcel- og rækkehuse;5270 Odense N;34;23;23;35;30;28;39;56;5270_15
Parcel- og rækkehuse;5290 Marslev;1;0;1;3;0;2;2;3;5290_15
Parcel- og rækkehuse;5300 Kerteminde;8;9;10;12;12;10;12;13;5300_15
Parcel- og rækkehuse;5320 Agedrup;1;6;4;6;7;5;5;11;5320_15
Parcel- og rækkehuse;5330 Munkebo;2;10;7;8;12;10;8;18;5330_15
Parcel- og rækkehuse;5350 Rynkeby;0;1;0;1;3;2;0;0;5350_15
Parcel- og rækkehuse;5370 Mesinge;1;1;3;2;0;1;1;1;5370_15
Parcel- og rækkehuse;5380 Dalby;1;0;1;0;1;2;1;2;5380_15
Parcel- og rækkehuse;5390 Martofte;1;1;1;1;3;1;0;0;5390_15
Parcel- og rækkehuse;5400 Bogense;9;7;7;12;13;8;11;17;5400_15
Parcel- og rækkehuse;5450 Otterup;17;13;17;12;16;26;17;20;5450_15
Parcel- og rækkehuse;5462 Morud;1;4;3;7;3;6;1;3;5462_15
Parcel- og rækkehuse;5463 Harndrup;3;1;3;2;0;3;5;3;5463_15
Parcel- og rækkehuse;5464 Brenderup Fyn;2;2;8;2;4;1;4;4;5464_15
Parcel- og rækkehuse;5466 Asperup;2;4;2;2;2;1;6;3;5466_15
Parcel- og rækkehuse;5471 Søndersø;15;10;7;6;9;9;10;9;5471_15
Parcel- og rækkehuse;5474 Veflinge;2;0;1;0;1;4;1;1;5474_15
Parcel- og rækkehuse;5485 Skamby;1;3;1;1;1;1;0;0;5485_15
Parcel- og rækkehuse;5491 Blommenslyst;0;1;3;1;2;3;4;3;5491_15
Parcel- og rækkehuse;5492 Vissenbjerg;5;11;5;4;6;4;7;17;5492_15
Parcel- og rækkehuse;5500 Middelfart;57;36;40;27;50;39;52;83;5500_15
Parcel- og rækkehuse;5540 Ullerslev;7;4;3;8;9;6;7;9;5540_15
Parcel- og rækkehuse;5550 Langeskov;10;8;9;9;3;11;13;23;5550_15
Parcel- og rækkehuse;5560 Aarup;3;6;6;9;12;3;10;12;5560_15
Parcel- og rækkehuse;5580 Nørre Aaby;3;5;4;9;6;4;10;7;5580_15
Parcel- og rækkehuse;5591 Gelsted;3;1;7;10;1;5;3;4;5591_15
Parcel- og rækkehuse;5592 Ejby;6;2;1;3;9;5;4;10;5592_15
Parcel- og rækkehuse;5600 Faaborg;14;20;21;29;19;23;21;22;5600_15
Parcel- og rækkehuse;5610 Assens;16;9;14;13;13;15;7;11;5610_15
Parcel- og rækkehuse;5620 Glamsbjerg;2;10;8;8;3;7;14;10;5620_15
Parcel- og rækkehuse;5631 Ebberup;4;3;4;6;7;3;2;4;5631_15
Parcel- og rækkehuse;5642 Millinge;2;0;2;0;2;1;1;2;5642_15
Parcel- og rækkehuse;5672 Broby;7;6;6;10;11;5;8;11;5672_15
Parcel- og rækkehuse;5683 Haarby;9;6;3;6;11;3;8;10;5683_15
Parcel- og rækkehuse;5690 Tommerup;13;12;7;8;15;17;17;12;5690_15
Parcel- og rækkehuse;5700 Svendborg;62;53;53;66;64;68;66;93;5700_15
Parcel- og rækkehuse;5750 Ringe;17;17;18;23;15;17;13;26;5750_15
Parcel- og rækkehuse;5762 Vester Skerninge;10;2;9;6;6;9;8;8;5762_15
Parcel- og rækkehuse;5771 Stenstrup;2;4;5;6;6;6;8;3;5771_15
Parcel- og rækkehuse;5772 Kværndrup;3;2;2;3;2;3;4;10;5772_15
Parcel- og rækkehuse;5792 Årslev;11;11;7;16;20;9;18;19;5792_15
Parcel- og rækkehuse;5800 Nyborg;29;28;19;27;41;20;32;37;5800_15
Parcel- og rækkehuse;5853 Ørbæk;5;5;6;2;7;3;9;6;5853_15
Parcel- og rækkehuse;5854 Gislev;3;1;4;3;1;3;7;3;5854_15
Parcel- og rækkehuse;5856 Ryslinge;3;3;7;6;2;2;2;1;5856_15
Parcel- og rækkehuse;5863 Ferritslev Fyn;2;2;2;2;2;2;4;4;5863_15
Parcel- og rækkehuse;5871 Frørup;1;1;1;3;3;2;3;4;5871_15
Parcel- og rækkehuse;5874 Hesselager;1;1;2;5;2;3;1;3;5874_15
Parcel- og rækkehuse;5881 Skårup Fyn;3;2;3;7;4;4;6;4;5881_15
Parcel- og rækkehuse;5882 Vejstrup;3;2;1;2;1;2;3;2;5882_15
Parcel- og rækkehuse;5883 Oure;1;1;0;0;0;0;0;0;5883_15
Parcel- og rækkehuse;5884 Gudme;2;2;1;1;4;0;2;4;5884_15
Parcel- og rækkehuse;5892 Gudbjerg Sydfyn;1;2;1;0;1;3;1;1;5892_15
Parcel- og rækkehuse;5900 Rudkøbing;13;13;7;9;10;12;9;15;5900_15
Parcel- og rækkehuse;5932 Humble;1;5;0;3;5;4;4;6;5932_15
Parcel- og rækkehuse;5935 Bagenkop;2;3;5;1;1;1;4;2;5935_15
Parcel- og rækkehuse;5953 Tranekær;6;7;7;6;8;8;4;10;5953_15
Parcel- og rækkehuse;5960 Marstal;8;3;4;8;6;11;5;13;5960_15
Parcel- og rækkehuse;5970 Ærøskøbing;5;1;4;8;6;4;3;2;5970_15
Parcel- og rækkehuse;5985 Søby Ærø;0;0;1;1;1;3;3;4;5985_15
Parcel- og rækkehuse;6000 Kolding;75;84;87;89;104;90;108;122;6000_15
Parcel- og rækkehuse;6040 Egtved;14;8;10;11;8;10;14;16;6040_15
Parcel- og rækkehuse;6051 Almind;3;1;2;3;0;2;6;6;6051_15
Parcel- og rækkehuse;6052 Viuf;1;3;3;0;3;0;1;0;6052_15
Parcel- og rækkehuse;6064 Jordrup;1;0;0;0;1;0;0;2;6064_15
Parcel- og rækkehuse;6070 Christiansfeld;8;6;6;7;10;5;7;6;6070_15
Parcel- og rækkehuse;6091 Bjert;4;6;6;5;2;1;3;5;6091_15
Parcel- og rækkehuse;6092 Sønder Stenderup;1;1;1;1;2;1;2;1;6092_15
Parcel- og rækkehuse;6093 Sjølund;4;1;0;1;2;3;0;2;6093_15
Parcel- og rækkehuse;6094 Hejls;0;2;0;0;3;4;1;1;6094_15
Parcel- og rækkehuse;6100 Haderslev;31;29;36;41;39;40;34;53;6100_15
Parcel- og rækkehuse;6200 Aabenraa;39;33;26;31;36;38;36;49;6200_15
Parcel- og rækkehuse;6230 Rødekro;9;10;19;12;14;17;10;29;6230_15
Parcel- og rækkehuse;6240 Løgumkloster;5;5;9;4;6;3;9;15;6240_15
Parcel- og rækkehuse;6261 Bredebro;5;5;3;5;2;5;4;5;6261_15
Parcel- og rækkehuse;6270 Tønder;14;13;18;20;12;17;12;12;6270_15
Parcel- og rækkehuse;6280 Højer;3;2;4;2;1;4;3;2;6280_15
Parcel- og rækkehuse;6300 Gråsten;15;5;6;14;12;8;9;13;6300_15
Parcel- og rækkehuse;6310 Broager;6;8;7;11;8;4;7;11;6310_15
Parcel- og rækkehuse;6320 Egernsund;2;2;2;3;2;2;4;2;6320_15
Parcel- og rækkehuse;6330 Padborg;5;3;6;6;8;8;8;13;6330_15
Parcel- og rækkehuse;6340 Kruså;9;5;2;9;10;3;6;8;6340_15
Parcel- og rækkehuse;6360 Tinglev;2;4;0;3;5;6;6;4;6360_15
Parcel- og rækkehuse;6372 Bylderup-Bov;8;4;1;4;4;2;5;0;6372_15
Parcel- og rækkehuse;6392 Bolderslev;2;1;5;0;2;1;0;5;6392_15
Parcel- og rækkehuse;6400 Sønderborg;33;36;31;47;32;49;38;50;6400_15
Parcel- og rækkehuse;6430 Nordborg;8;9;12;14;11;11;6;16;6430_15
Parcel- og rækkehuse;6440 Augustenborg;7;10;7;10;5;5;9;8;6440_15
Parcel- og rækkehuse;6470 Sydals;10;10;5;12;7;7;10;15;6470_15
Parcel- og rækkehuse;6500 Vojens;7;14;16;15;13;20;18;25;6500_15
Parcel- og rækkehuse;6510 Gram;7;4;4;5;6;5;8;9;6510_15
Parcel- og rækkehuse;6520 Toftlund;7;3;3;4;8;9;4;7;6520_15
Parcel- og rækkehuse;6534 Agerskov;5;1;2;3;2;1;2;2;6534_15
Parcel- og rækkehuse;6535 Branderup J;0;0;0;0;0;1;0;0;6535_15
Parcel- og rækkehuse;6541 Bevtoft;1;3;2;1;0;2;1;2;6541_15
Parcel- og rækkehuse;6560 Sommersted;5;5;1;0;0;5;2;0;6560_15
