type;area;Q3_13;Q4_13;Q1_14;Q2_14;Q3_14;Q4_14;Q1_15;Q2_15
Parcel- og rækkehuse;1000 København K;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;1500 København V;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;1800 Frederiksberg C;0;0;0;0;31.065;0;0;0
Parcel- og rækkehuse;2000 Frederiksberg;30.433;34.626;37.922;35.220;38.820;38.240;39.413;42.382
Parcel- og rækkehuse;2100 København Ø;34.287;39.950;38.603;42.676;47.211;43.404;43.116;37.190
Parcel- og rækkehuse;2200 København N;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2300 København S;24.564;24.714;26.187;26.762;27.157;26.859;29.596;31.172
Parcel- og rækkehuse;2400 København NV;24.232;25.002;29.197;25.618;33.388;32.199;23.860;29.572
Parcel- og rækkehuse;2450 København SV;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2500 Valby;23.660;27.083;24.218;26.487;27.271;27.216;27.426;29.723
Parcel- og rækkehuse;2600 Glostrup;18.325;17.383;16.519;17.993;17.782;18.450;18.517;19.262
Parcel- og rækkehuse;2605 Brøndby;17.707;16.530;18.368;17.766;18.607;18.591;18.348;18.861
Parcel- og rækkehuse;2610 Rødovre;20.038;19.495;19.897;20.883;20.747;21.087;22.096;22.661
Parcel- og rækkehuse;2620 Albertslund;14.276;15.322;15.379;16.124;16.370;16.150;16.274;17.066
Parcel- og rækkehuse;2625 Vallensbæk;17.803;21.011;18.353;19.607;18.972;18.596;18.361;19.998
Parcel- og rækkehuse;2630 Taastrup;15.748;17.664;15.420;16.589;16.335;16.406;17.507;17.921
Parcel- og rækkehuse;2633 Returpost;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2635 Ishøj;15.702;14.322;15.056;15.161;15.067;15.356;15.825;17.834
Parcel- og rækkehuse;2640 Hedehusene;13.740;13.311;14.932;15.099;15.699;13.863;15.111;15.471
Parcel- og rækkehuse;2650 Hvidovre;19.280;18.352;19.328;20.049;20.660;20.114;21.505;22.728
Parcel- og rækkehuse;2660 Brøndby Strand;18.095;16.232;18.128;18.310;18.285;17.602;19.833;18.996
Parcel- og rækkehuse;2665 Vallensbæk Strand;19.662;19.684;20.734;19.758;18.908;19.969;22.832;21.557
Parcel- og rækkehuse;2670 Greve;17.445;15.905;16.525;16.852;17.792;17.798;16.969;17.927
Parcel- og rækkehuse;2680 Solrød Strand;17.944;18.755;17.884;18.561;17.008;19.207;19.370;19.209
Parcel- og rækkehuse;2690 Karlslunde;15.464;18.581;16.319;17.231;15.824;16.686;16.995;18.422
Parcel- og rækkehuse;2700 Brønshøj;22.483;23.807;23.415;24.802;23.260;26.910;26.316;27.271
Parcel- og rækkehuse;2720 Vanløse;25.494;24.683;25.847;27.602;27.423;26.106;26.897;30.219
Parcel- og rækkehuse;2730 Herlev;18.359;18.760;19.943;19.173;20.400;19.192;20.821;21.588
Parcel- og rækkehuse;2740 Skovlunde;18.380;17.972;17.697;18.270;20.128;18.733;18.045;20.302
Parcel- og rækkehuse;2750 Ballerup;19.290;16.912;16.951;18.031;19.374;20.039;19.339;20.076
Parcel- og rækkehuse;2760 Måløv;20.467;19.370;15.633;0;0;21.717;22.186;22.684
Parcel- og rækkehuse;2765 Smørum;17.921;18.368;19.473;18.046;19.008;18.518;19.354;21.022
Parcel- og rækkehuse;2770 Kastrup;21.292;20.933;20.826;21.310;22.758;21.878;22.725;24.010
Parcel- og rækkehuse;2791 Dragør;23.365;22.232;22.161;22.423;23.110;23.608;22.590;24.971
Parcel- og rækkehuse;2800 Kongens Lyngby;26.208;26.504;26.672;27.139;28.182;27.315;28.952;32.091
Parcel- og rækkehuse;2820 Gentofte;30.083;28.040;28.194;30.079;29.762;30.134;29.702;33.517
Parcel- og rækkehuse;2830 Virum;26.659;26.554;25.815;28.069;27.723;28.299;30.171;32.014
Parcel- og rækkehuse;2840 Holte;29.546;27.843;29.170;27.624;26.751;26.990;29.106;29.148
Parcel- og rækkehuse;2850 Nærum;25.740;25.833;24.048;23.795;0;25.816;23.651;26.123
Parcel- og rækkehuse;2860 Søborg;23.797;24.441;22.801;22.540;22.349;23.282;25.155;24.443
Parcel- og rækkehuse;2870 Dyssegård;26.782;30.320;26.657;30.703;36.029;33.961;33.772;33.779
Parcel- og rækkehuse;2880 Bagsværd;20.928;24.039;24.073;22.831;22.602;23.052;25.381;25.947
Parcel- og rækkehuse;2900 Hellerup;32.703;34.735;30.567;33.745;34.751;33.354;35.208;36.120
Parcel- og rækkehuse;2920 Charlottenlund;35.550;34.668;37.416;39.501;37.947;39.272;35.992;38.720
Parcel- og rækkehuse;2930 Klampenborg;38.054;42.593;38.870;39.527;37.515;41.451;35.610;46.491
Parcel- og rækkehuse;2942 Skodsborg;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;2950 Vedbæk;26.070;28.778;30.119;28.248;30.966;25.908;28.369;31.928
Parcel- og rækkehuse;2960 Rungsted Kyst;27.830;26.733;30.138;27.236;29.302;26.990;29.679;30.490
Parcel- og rækkehuse;2970 Hørsholm;22.463;21.845;23.945;23.083;23.360;22.622;23.303;24.350
Parcel- og rækkehuse;2980 Kokkedal;16.379;15.163;15.768;16.284;16.682;16.691;15.971;16.986
Parcel- og rækkehuse;2990 Nivå;15.819;16.183;17.525;17.192;17.855;15.989;17.718;19.731
Parcel- og rækkehuse;3000 Helsingør;15.785;14.891;15.005;15.542;16.464;14.821;17.770;17.462
Parcel- og rækkehuse;3050 Humlebæk;18.031;19.026;21.751;21.295;23.029;23.594;24.688;26.568
Parcel- og rækkehuse;3060 Espergærde;17.582;21.700;19.284;18.419;18.511;19.654;20.418;21.692
Parcel- og rækkehuse;3070 Snekkersten;20.878;18.432;17.630;19.744;23.382;21.423;22.906;22.100
Parcel- og rækkehuse;3080 Tikøb;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3100 Hornbæk;14.164;15.054;14.544;20.651;16.396;19.635;14.493;19.050
Parcel- og rækkehuse;3120 Dronningmølle;0;12.254;0;0;0;0;0;13.237
Parcel- og rækkehuse;3140 Ålsgårde;15.695;19.569;15.964;15.819;16.118;15.638;14.946;16.869
Parcel- og rækkehuse;3150 Hellebæk;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3200 Helsinge;11.428;12.136;11.588;12.140;12.014;11.662;11.935;13.180
Parcel- og rækkehuse;3210 Vejby;0;9.930;9.885;0;14.204;8.060;0;0
Parcel- og rækkehuse;3220 Tisvildeleje;0;0;0;0;13.633;0;0;13.213
Parcel- og rækkehuse;3230 Græsted;7.426;10.377;10.526;8.545;9.023;10.559;10.481;9.640
Parcel- og rækkehuse;3250 Gilleleje;11.466;13.700;11.917;12.117;15.917;12.074;13.434;15.593
Parcel- og rækkehuse;3300 Frederiksværk;10.690;9.890;9.809;9.240;10.894;7.963;9.632;9.540
Parcel- og rækkehuse;3310 Ølsted;0;0;0;8.049;0;0;0;0
Parcel- og rækkehuse;3320 Skævinge;0;9.181;11.421;15.536;13.685;11.192;14.192;13.178
Parcel- og rækkehuse;3330 Gørløse;9.673;0;0;0;0;0;11.732;0
Parcel- og rækkehuse;3360 Liseleje;0;0;0;8.466;0;0;9.226;9.716
Parcel- og rækkehuse;3370 Melby;0;0;0;0;0;0;0;0
Parcel- og rækkehuse;3390 Hundested;8.435;8.900;8.766;8.917;8.159;8.768;10.457;9.701
Parcel- og rækkehuse;3400 Hillerød;16.068;17.222;16.664;16.662;16.709;17.400;17.042;18.802
